effective_defense,structural_role,attack,outcome,blocks,mean,sd_across_blocks
dp_qml,repetition,lira_offline_density_surprise_fixed_variance,balanced_accuracy,8,0.49187499999999995,0.027377976028709124
dp_qml,repetition,lira_offline_density_surprise_fixed_variance,tpr_at_0_1_fpr,8,0.01,0.01414213562373095
dp_qml,repetition,lira_offline_density_surprise_fixed_variance,tpr_at_1_fpr,8,0.018750000000000003,0.021001700611413078
dp_qml,repetition,lira_offline_density_surprise_fixed_variance,tpr_at_5_fpr,8,0.05375,0.034615231989895516
dp_qml,repetition,lira_offline_density_surprise_fixed_variance,tpr_at_10_fpr,8,0.09625000000000002,0.04983902658989812
dp_qml,repetition,lira_offline_fixed_variance,auc,8,0.5410874999999999,0.03504101423434297
dp_qml,repetition,lira_offline_fixed_variance,balanced_accuracy,8,0.530625,0.03717117739016924
dp_qml,repetition,lira_offline_fixed_variance,tpr_at_0_1_fpr,8,0.0125,0.017525491637693284
dp_qml,repetition,lira_offline_fixed_variance,tpr_at_1_fpr,8,0.024999999999999998,0.02203892660077359
dp_qml,repetition,lira_offline_fixed_variance,tpr_at_5_fpr,8,0.07125000000000001,0.039798600118956085
dp_qml,repetition,lira_offline_fixed_variance,tpr_at_10_fpr,8,0.12625,0.04565006649971687
dp_qml,repetition,lira_offline_one_sided_z,auc,8,0.53805,0.03460747235579544
dp_qml,repetition,lira_offline_one_sided_z,balanced_accuracy,8,0.520625,0.021286732957408003
dp_qml,repetition,lira_offline_one_sided_z,tpr_at_0_1_fpr,8,0.0075,0.011649647450214351
dp_qml,repetition,lira_offline_one_sided_z,tpr_at_1_fpr,8,0.026250000000000002,0.018468119248354137
dp_qml,repetition,lira_offline_one_sided_z,tpr_at_5_fpr,8,0.07875,0.03681517544243328
dp_qml,repetition,lira_offline_one_sided_z,tpr_at_10_fpr,8,0.12125,0.037961446607992014
dp_qml,repetition,lira_offline_one_sided_z_fixed_variance,auc,8,0.5410874999999999,0.03504101423434297
dp_qml,repetition,lira_offline_one_sided_z_fixed_variance,balanced_accuracy,8,0.53125,0.037008686239082544
dp_qml,repetition,lira_offline_one_sided_z_fixed_variance,tpr_at_0_1_fpr,8,0.0125,0.017525491637693284
dp_qml,repetition,lira_offline_one_sided_z_fixed_variance,tpr_at_1_fpr,8,0.024999999999999998,0.02203892660077359
dp_qml,repetition,lira_offline_one_sided_z_fixed_variance,tpr_at_5_fpr,8,0.07125000000000001,0.039798600118956085
dp_qml,repetition,lira_offline_one_sided_z_fixed_variance,tpr_at_10_fpr,8,0.12625,0.04565006649971687
dp_qml,repetition,lira_online,auc,8,0.51945,0.04981537341595891
dp_qml,repetition,lira_online,balanced_accuracy,8,0.51125,0.026015105502106155
dp_qml,repetition,lira_online,tpr_at_0_1_fpr,8,0.01125,0.013562026818605372
dp_qml,repetition,lira_online,tpr_at_1_fpr,8,0.027500000000000004,0.0198206241793023
dp_qml,repetition,lira_online,tpr_at_5_fpr,8,0.07250000000000001,0.03615443067098219
dp_qml,repetition,lira_online,tpr_at_10_fpr,8,0.1375,0.04367084676466507
dp_qml,repetition,lira_online_fixed_variance,auc,8,0.516825,0.051860437715082974
