effective_defense,structural_role,outcome,blocks,mean,sd_across_blocks
hamp_train,repetition,balanced_accuracy,8,0.6156864802304847,0.022549210757097
hamp_train,repetition,task_roc_auc,8,0.6674711857933655,0.027986800128741277
hamp_train,repetition,task_average_precision,8,0.361433062309371,0.029870589289150738
hamp_train,repetition,minority_class_recall,8,0.6060520361990951,0.14938216178157188
hamp_train,repetition,prediction_collapse,8,0.0,0.0
hamp_train,repetition,nll,8,0.6036677584052086,0.007409715561173774
hamp_train,stress,accuracy,8,0.651375,0.12424795198082167
hamp_train,stress,balanced_accuracy,8,0.5841950609610883,0.02867403136547385
hamp_train,stress,task_roc_auc,8,0.6275989782700875,0.033016973605109426
hamp_train,stress,task_average_precision,8,0.32676158447666737,0.034608502013444946
hamp_train,stress,minority_class_recall,8,0.4638009049773755,0.19581762111737824
hamp_train,stress,prediction_collapse,8,0.0,0.0
hamp_train,stress,nll,8,0.6085441261529922,0.008924279609828355
l2,low,accuracy,8,0.5883125,0.09522564836819362
l2,low,balanced_accuracy,8,0.6147208031528993,0.03497858730978219
l2,low,task_roc_auc,8,0.6646685440493962,0.04076346205594101
l2,low,task_average_precision,8,0.3472026364597717,0.04937471352907545
l2,low,minority_class_recall,8,0.6620475113122172,0.12708833166100356
l2,low,prediction_collapse,8,0.0,0.0
l2,low,nll,8,0.5006770826876163,0.013249857039751473
l2,repetition,accuracy,8,0.6135625,0.04742018670506113
l2,repetition,balanced_accuracy,8,0.6308261911953486,0.020713568859236402
l2,repetition,task_roc_auc,8,0.6784889803902207,0.03331941714546281
l2,repetition,task_average_precision,8,0.37698995234054605,0.03859443969836464
l2,repetition,minority_class_recall,8,0.6617647058823528,0.10391770634316008
l2,repetition,prediction_collapse,8,0.0,0.0
l2,repetition,nll,8,0.5080847591161728,0.01979614831579877
l2,stress,accuracy,8,0.6363125000000001,0.08398253963941381
l2,stress,balanced_accuracy,8,0.5979245566598319,0.02257793139992866
l2,stress,task_roc_auc,8,0.6404933992704418,0.03358368909577495
l2,stress,task_average_precision,8,0.33448790762983477,0.0382913077105051
l2,stress,minority_class_recall,8,0.5291289592760181,0.16732661049250527
l2,stress,prediction_collapse,8,0.0,0.0
l2,stress,nll,8,0.5553844571113586,0.026698681223315444
lattice_round,low,accuracy,8,0.5839375,0.06524100239003952
lattice_round,low,balanced_accuracy,8,0.6198131160729325,0.03298540825017241
lattice_round,low,task_roc_auc,8,0.6745118248247259,0.04535249829689033
lattice_round,low,task_average_precision,8,0.3683621974777561,0.05580565200482115
lattice_round,low,minority_class_recall,8,0.684106334841629,0.10680443080132068
lattice_round,low,prediction_collapse,8,0.0,0.0
lattice_round,low,nll,8,0.5042485296726227,0.017304985951846402
lattice_round,repetition,accuracy,8,0.664625,0.07245971787335165
lattice_round,repetition,balanced_accuracy,8,0.6256178881150565,0.020294773561726268
lattice_round,repetition,task_roc_auc,8,0.6746241846200314,0.029105570501374127
lattice_round,repetition,task_average_precision,8,0.37339441705590093,0.030511194020830704
lattice_round,repetition,minority_class_recall,8,0.5557126696832579,0.14113905606602825
lattice_round,repetition,prediction_collapse,8,0.0,0.0
lattice_round,repetition,nll,8,0.5377441868185997,0.03389583579338994
lattice_round,stress,accuracy,8,0.5992500000000001,0.1129595376356381
lattice_round,stress,balanced_accuracy,8,0.5948999180989667,0.022608551956178485
lattice_round,stress,task_roc_auc,8,0.6391149496976631,0.026223722826850794
lattice_round,stress,task_average_precision,8,0.33838833574951926,0.02221175665552576
lattice_round,stress,minority_class_recall,8,0.5871040723981901,0.1812054373642798
lattice_round,stress,prediction_collapse,8,0.0,0.0
lattice_round,stress,nll,8,0.587345190346241,0.0399489911777383
