target_id,block_id,structural_role,training_defense,defense,effective_defense,accuracy,balanced_accuracy,mean_entropy,minimum_class_recall,minority_class_label,minority_class_recall,minority_prevalence,nll,predicted_class_0_fraction,predicted_class_1_fraction,predicted_minority_fraction,prediction_collapse,task_average_precision,task_roc_auc
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,memgq_lattice_sticky,memgq_lattice_sticky,0.5935,0.643473475101505,0.42642712593078613,0.5539152759948652,1.0,0.7330316742081447,0.221,0.5286872386932373,0.4905,0.5095,0.5095,0.0,0.3553415469210459,0.6725374508448586
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,memguard,memguard,0.5925,0.641211031662591,0.4606257379055023,0.5539152759948652,1.0,0.7285067873303167,0.221,0.4960445165634155,0.4915,0.5085,0.5085,0.0,0.3812662070070324,0.6914059096532856
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,none,none,0.5925,0.641211031662591,0.45750606060028076,0.5539152759948652,1.0,0.7285067873303167,0.221,0.4950380027294159,0.4915,0.5085,0.5085,0.0,0.38088827572684414,0.6932704650933149
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__dp_qml,petsv2_b05,repetition,dp_qml,none,dp_qml,0.4555,0.5597601635697234,0.22618986666202545,0.37291399229781774,1.0,0.746606334841629,0.221,0.6693118810653687,0.3465,0.6535,0.6535,0.0,0.2856313752804138,0.5979704807764915
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__hamp_train,petsv2_b05,repetition,hamp_train,hamp_output,hamp_full,0.6695,0.6071727298601874,0.6703073382377625,0.49547511312217196,1.0,0.49547511312217196,0.221,0.6144952178001404,0.6715,0.3285,0.3285,0.0,0.33200092245818114,0.6158021073542481
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__hamp_train,petsv2_b05,repetition,hamp_train,none,hamp_train,0.6695,0.6071727298601874,0.6770943999290466,0.49547511312217196,1.0,0.49547511312217196,0.221,0.6135835647583008,0.6715,0.3285,0.3285,0.0,0.32317791772643883,0.6315629737626264
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__l2,petsv2_b05,repetition,l2,none,l2,0.6045,0.6051571512380997,0.4680025279521942,0.6039794608472401,1.0,0.6063348416289592,0.221,0.543058454990387,0.5575,0.4425,0.4425,0.0,0.3310738734570832,0.6290289790252035
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,dynanoise,dynanoise,0.222,0.5006418485237484,0.6861468553543091,0.0012836970474967907,1.0,1.0,0.221,0.6443381309509277,0.001,0.999,0.999,0.0,0.3046490631886059,0.6093749092408761
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,hamp_output,hamp_output,0.679,0.5994952340568893,0.37495094537734985,0.45701357466063347,1.0,0.45701357466063347,0.221,0.7088425755500793,0.698,0.302,0.302,0.0,0.3253990784661135,0.597328632252743
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b05__none,petsv2_b05,repetition,none,lattice_round,lattice_round,0.675,0.5977381374194785,0.4387434124946594,0.4592760180995475,1.0,0.4592760180995475,0.221,0.575120210647583,0.693,0.307,0.307,0.0,0.3238547921056689,0.6239283162657775
