attack,effective_defense,structural_contrast,contrast,mean_auc_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks,p_exact_sign_flip,p_holm_all_secondary
confidence,hamp_train,stress-low,structural_difference_in_differences,0.006650000000000017,0.016216925241417178,-0.004039671874999983,0.01680687499999996,8,0.2734375,1.0
confidence,l2,stress-low,structural_difference_in_differences,-0.016424374999999956,0.013323208385986749,-0.02500812499999995,-0.007683750000000017,8,0.0234375,1.0
confidence,lattice_round,stress-low,structural_difference_in_differences,5.812500000001303e-05,0.0008758054965898634,-0.0005199999999999372,0.000600015624999968,8,0.859375,1.0
confidence,logitguard_continuous,stress-low,structural_difference_in_differences,-0.004058124999999968,0.010615687158130034,-0.010822624999999985,0.0028606250000000055,8,0.2578125,1.0
confidence,logitguard_quantized,stress-low,structural_difference_in_differences,-0.003812499999999941,0.01018239236553543,-0.00979374999999997,0.003070000000000038,8,0.3125,1.0
confidence,measurementguard_continuous,stress-low,structural_difference_in_differences,-0.01369,0.019986436829581615,-0.027601250000000042,-0.0016960312500000003,8,0.09375,1.0
confidence,memgq_lattice,stress-low,structural_difference_in_differences,-0.014478750000000012,0.021860381605282475,-0.029390000000000013,-0.0008574531249999574,8,0.09375,1.0
confidence,memgq_lattice_sticky,stress-low,structural_difference_in_differences,-0.0031949999999999965,0.022385942495873872,-0.017853125000000004,0.011053125000000032,8,0.6953125,1.0
confidence,memguard,stress-low,structural_difference_in_differences,0.0025018750000000214,0.004561772789403559,-0.00016137499999995276,0.005723125000000051,8,0.1328125,1.0
confidence,dp_qml,stress-repetition,structural_difference_in_differences,-0.02260312499999998,0.018335094556906836,-0.03416117187499995,-0.01055249999999995,8,0.0078125,1.0
confidence,dynanoise,stress-repetition,structural_difference_in_differences,-0.004601874999999936,0.007953858873662688,-0.01010399999999998,0.00010190625000005653,8,0.171875,1.0
confidence,hamp_full,stress-repetition,structural_difference_in_differences,0.0022543750000000168,0.012793002394585093,-0.005454375000000053,0.011089265625000084,8,0.6640625,1.0
confidence,hamp_output,stress-repetition,structural_difference_in_differences,0.009013124999999997,0.03096427237703612,-0.010221874999999964,0.029822624999999943,8,0.4609375,1.0
confidence,hamp_train,stress-repetition,structural_difference_in_differences,2.3749999999989058e-05,0.014702165231692996,-0.008882109375000106,0.010106875000000057,8,0.9921875,1.0
confidence,l2,stress-repetition,structural_difference_in_differences,-0.0055012499999999576,0.01324506532098434,-0.014049999999999924,0.003235156250000015,8,0.2734375,1.0
confidence,lattice_round,stress-repetition,structural_difference_in_differences,0.0012237500000000373,0.0008007797539184476,0.0007474843749999995,0.001767546875000059,8,0.0078125,1.0
confidence,logitguard_continuous,stress-repetition,structural_difference_in_differences,-0.00729374999999996,0.017436908259288897,-0.018496531249999993,0.0038277499999999805,8,0.265625,1.0
confidence,logitguard_quantized,stress-repetition,structural_difference_in_differences,-0.0069462499999999455,0.016323150245236697,-0.0176456249999999,0.003481250000000047,8,0.265625,1.0
confidence,measurementguard_continuous,stress-repetition,structural_difference_in_differences,-0.0010225000000000095,0.030625599819198834,-0.019644187499999972,0.019555187499999932,8,0.9375,1.0
confidence,memgq_lattice,stress-repetition,structural_difference_in_differences,0.00515937499999998,0.03547908885501631,-0.017543906250000046,0.028296874999999957,8,0.6796875,1.0
confidence,memgq_lattice_sticky,stress-repetition,structural_difference_in_differences,0.006415000000000032,0.032156890952240405,-0.014546874999999904,0.02662124999999997,8,0.59375,1.0
confidence,memguard,stress-repetition,structural_difference_in_differences,0.0017937500000000245,0.006196613562491756,-0.0018149999999999555,0.006074999999999983,8,0.5,1.0
correctness,dp_qml,repetition-low,structural_difference_in_differences,-0.019937500000000066,0.020082752906056336,-0.033125000000000064,-0.007250000000000083,8,0.03125,1.0
correctness,dynanoise,repetition-low,structural_difference_in_differences,-0.03231250000000004,0.020732888813945586,-0.04612656250000007,-0.01956250000000003,8,0.0078125,1.0
correctness,hamp_full,repetition-low,structural_difference_in_differences,0.0013749999999999873,0.026728462624807183,-0.01575000000000007,0.01868906250000004,8,0.8984375,1.0
correctness,hamp_output,repetition-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,hamp_train,repetition-low,structural_difference_in_differences,0.0013749999999999873,0.026728462624807183,-0.016312499999999994,0.018690624999999975,8,0.8984375,1.0
correctness,l2,repetition-low,structural_difference_in_differences,-0.015562500000000028,0.03793174085493203,-0.03912656250000007,0.010249999999999988,8,0.28125,1.0
correctness,lattice_round,repetition-low,structural_difference_in_differences,6.24999999999376e-05,0.008347101721127887,-0.005874999999999991,0.004499999999999921,8,1.0,1.0
correctness,logitguard_continuous,repetition-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,logitguard_quantized,repetition-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,measurementguard_continuous,repetition-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,memgq_lattice,repetition-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,memgq_lattice_sticky,repetition-low,structural_difference_in_differences,0.0011249999999999871,0.008517838424657484,-0.003500000000000017,0.007312499999999986,8,0.8203125,1.0
correctness,memguard,repetition-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,dp_qml,stress-low,structural_difference_in_differences,-0.039062500000000014,0.02672938123916394,-0.057562499999999954,-0.023999999999999973,8,0.0078125,1.0
correctness,dynanoise,stress-low,structural_difference_in_differences,-0.04131250000000001,0.02935367767175251,-0.060124999999999984,-0.021562500000000026,8,0.015625,1.0
correctness,hamp_full,stress-low,structural_difference_in_differences,0.008750000000000022,0.021174445514750593,-0.005251562499999988,0.02187500000000002,8,0.2890625,1.0
correctness,hamp_output,stress-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,hamp_train,stress-low,structural_difference_in_differences,0.008750000000000022,0.021174445514750593,-0.005374999999999935,0.022062500000000013,8,0.2890625,1.0
correctness,l2,stress-low,structural_difference_in_differences,-0.005374999999999998,0.023289712627804483,-0.01974999999999994,0.01037499999999999,8,0.53125,1.0
correctness,lattice_round,stress-low,structural_difference_in_differences,0.0018125000000000085,0.008602065781792519,-0.003937499999999955,0.007126562500000024,8,0.578125,1.0
correctness,logitguard_continuous,stress-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,logitguard_quantized,stress-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,measurementguard_continuous,stress-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,memgq_lattice,stress-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,memgq_lattice_sticky,stress-low,structural_difference_in_differences,0.0031875000000000375,0.007745678518650568,-0.0017499999999999044,0.008375000000000007,8,0.3046875,1.0
correctness,memguard,stress-low,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,dp_qml,stress-repetition,structural_difference_in_differences,-0.019124999999999948,0.02909559367719742,-0.03824999999999996,-0.0006874999999999798,8,0.109375,1.0
correctness,dynanoise,stress-repetition,structural_difference_in_differences,-0.008999999999999966,0.04064216670264658,-0.03468749999999998,0.017378124999999984,8,0.5625,1.0
correctness,hamp_full,stress-repetition,structural_difference_in_differences,0.007375000000000034,0.024367352280107446,-0.007501562500000032,0.02312500000000002,8,0.3671875,1.0
correctness,hamp_output,stress-repetition,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,hamp_train,stress-repetition,structural_difference_in_differences,0.007375000000000034,0.024367352280107446,-0.007749999999999979,0.023562500000000056,8,0.3671875,1.0
correctness,l2,stress-repetition,structural_difference_in_differences,0.01018750000000003,0.040238518770664825,-0.014564062500000004,0.03656250000000004,8,0.5078125,1.0
correctness,lattice_round,stress-repetition,structural_difference_in_differences,0.001750000000000071,0.009639946650711854,-0.004437499999999872,0.007875000000000076,8,0.65625,1.0
correctness,logitguard_continuous,stress-repetition,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,logitguard_quantized,stress-repetition,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,measurementguard_continuous,stress-repetition,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,memgq_lattice,stress-repetition,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
correctness,memgq_lattice_sticky,stress-repetition,structural_difference_in_differences,0.0020625000000000504,0.010008701571275721,-0.005062499999999942,0.007937500000000042,8,0.5859375,1.0
correctness,memguard,stress-repetition,structural_difference_in_differences,0.0,0.0,0.0,0.0,8,1.0,1.0
entropy,dp_qml,repetition-low,structural_difference_in_differences,-0.028811875000000015,0.026070194247933824,-0.045811875000000016,-0.012740124999999944,8,0.0078125,1.0
entropy,dynanoise,repetition-low,structural_difference_in_differences,-0.013352499999999969,0.01871896612682293,-0.02545031249999996,-0.0010899999999999244,8,0.09375,1.0
entropy,hamp_full,repetition-low,structural_difference_in_differences,-0.018868125000000048,0.0280876083426609,-0.03719646875000006,-0.0007493750000000798,8,0.109375,1.0
entropy,hamp_output,repetition-low,structural_difference_in_differences,-0.019451250000000052,0.032113189407602806,-0.040536875000000056,0.0009224687499999721,8,0.1328125,1.0
entropy,hamp_train,repetition-low,structural_difference_in_differences,0.007226249999999969,0.016692170266753348,-0.0034284531250000105,0.01800574999999998,8,0.2734375,1.0
entropy,l2,repetition-low,structural_difference_in_differences,-0.0077281249999999885,0.009169721111781826,-0.013382499999999985,-0.001585624999999924,8,0.078125,1.0
entropy,lattice_round,repetition-low,structural_difference_in_differences,-0.001073750000000026,0.0022276809690797506,-0.002597531250000037,0.0002631562500000157,8,0.2265625,1.0
entropy,logitguard_continuous,repetition-low,structural_difference_in_differences,-0.001753125000000029,0.015244168425405966,-0.012158750000000072,0.007562265624999963,8,0.765625,1.0
entropy,logitguard_quantized,repetition-low,structural_difference_in_differences,-0.0025918749999999796,0.015174624245171376,-0.01234249999999995,0.007137406249999994,8,0.65625,1.0
entropy,measurementguard_continuous,repetition-low,structural_difference_in_differences,-0.018198124999999954,0.02759184946132514,-0.036611812499999986,-0.0009224999999999095,8,0.109375,1.0
entropy,memgq_lattice,repetition-low,structural_difference_in_differences,-0.02594312500000001,0.025931342857837405,-0.04243407812499996,-0.009141124999999991,8,0.03125,1.0
entropy,memgq_lattice_sticky,repetition-low,structural_difference_in_differences,-0.015073125000000048,0.033165431437126115,-0.036723750000000055,0.006242640624999887,8,0.25,1.0
entropy,memguard,repetition-low,structural_difference_in_differences,0.0011462500000000223,0.011647396934815226,-0.006180281249999977,0.00880375000000004,8,0.8203125,1.0
entropy,dp_qml,stress-low,structural_difference_in_differences,-0.03614625000000002,0.019282509978512347,-0.04816500000000004,-0.02312249999999999,8,0.015625,1.0
entropy,dynanoise,stress-low,structural_difference_in_differences,-0.02227375000000003,0.02116044520021801,-0.03591509375000002,-0.008235,8,0.046875,1.0
entropy,hamp_full,stress-low,structural_difference_in_differences,-0.022613750000000002,0.033045217154464526,-0.044529734375000005,-0.0010262500000000063,8,0.09375,1.0
entropy,hamp_output,stress-low,structural_difference_in_differences,-0.011167500000000066,0.029251132212519303,-0.029488125000000046,0.007603906249999868,8,0.3125,1.0
entropy,hamp_train,stress-low,structural_difference_in_differences,0.0005518749999999864,0.022131278598642078,-0.013889078125000018,0.014837499999999955,8,0.9296875,1.0
entropy,l2,stress-low,structural_difference_in_differences,-0.014541250000000006,0.017703220600864045,-0.025158765625000055,-0.002175484375000015,8,0.078125,1.0
entropy,lattice_round,stress-low,structural_difference_in_differences,-4.000000000001225e-05,0.001639137403810724,-0.001096874999999963,0.0010056562499999953,8,0.9609375,1.0
