effective_defense,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
l2,task_roc_auc,high-low,0.028654107540122764,0.007130721440038429,0.021934302011512502,0.03344001765809518,4
lattice_round,task_roc_auc,high-low,0.00965477407512827,0.02673451160429333,-0.011447629807329218,0.030757177957585757,4
logitguard_continuous,task_roc_auc,high-low,0.08425841082952382,0.06831681771783543,0.031243646861331575,0.14846359324810207,4
logitguard_quantized,task_roc_auc,high-low,0.08469278399618951,0.06940245310160305,0.02998626995974646,0.15023666349130743,4
measurementguard_continuous,task_roc_auc,high-low,0.06737194976736616,0.06566505641216386,0.009571820235944578,0.12973435893563504,4
memgq_lattice,task_roc_auc,high-low,0.06868232999726995,0.07346610800839055,0.010290995533198899,0.13446817331652713,4
memgq_lattice_sticky,task_roc_auc,high-low,0.06591544734809104,0.06630589111154649,0.010423322335747803,0.12201638456310743,4
memguard,task_roc_auc,high-low,0.02373405543712498,0.02206314829059583,0.005749045940090236,0.04171906493415972,4
none,task_roc_auc,high-low,0.009234014777037447,0.026244505764527443,-0.011432745311020676,0.02990077486509557,4
dp_qml,task_average_precision,high-low,0.04785045726768901,0.038960504970365864,0.009360557498298866,0.07589105868199457,4
dynanoise,task_average_precision,high-low,0.04225856983946716,0.012096910232077034,0.0345168512247756,0.05368881229849459,4
hamp_full,task_average_precision,high-low,0.044052424845877104,0.02660931000155118,0.021025133194894907,0.0670797164968593,4
hamp_output,task_average_precision,high-low,0.0645456877299092,0.020699055201557612,0.047905717423385424,0.0833385998406729,4
hamp_train,task_average_precision,high-low,-0.0002879019535750871,0.02621191918005632,-0.024609460795049887,0.0178533328707908,4
l2,task_average_precision,high-low,0.04507847870990572,0.04178157972461155,0.0037019099887697637,0.07075693259772789,4
lattice_round,task_average_precision,high-low,0.01619598280185798,0.028515721596451445,-0.005851581110117465,0.03962398725740192,4
logitguard_continuous,task_average_precision,high-low,0.08192215554760042,0.061330389782892646,0.04256630581993587,0.14088951183964857,4
logitguard_quantized,task_average_precision,high-low,0.08105906872502501,0.06015147356251144,0.04138841721633292,0.14053524471658235,4
measurementguard_continuous,task_average_precision,high-low,0.06620491351860784,0.031229166641428635,0.04494961564735258,0.09773832124841694,4
memgq_lattice,task_average_precision,high-low,0.07009895347001308,0.04100729529400002,0.04071510450699821,0.10600730110489617,4
memgq_lattice_sticky,task_average_precision,high-low,0.07016352155468235,0.03929855717765533,0.0383019896238149,0.1020250534855498,4
memguard,task_average_precision,high-low,0.04325671356639724,0.03934120483717074,0.012147586679646924,0.0744442590521635,4
none,task_average_precision,high-low,0.015140580498847811,0.028644277800465582,-0.006466513109179672,0.03950790800935211,4
dp_qml,minority_class_recall,high-low,0.010180995475113155,0.17649475798438852,-0.13235294117647056,0.15271493212669687,4
dynanoise,minority_class_recall,high-low,0.08371040723981901,0.01197172538943254,0.0746606334841629,0.09389140271493214,4
hamp_full,minority_class_recall,high-low,0.14875565610859728,0.02969322341268482,0.1255656108597285,0.17251131221719457,4
hamp_output,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
hamp_train,minority_class_recall,high-low,0.14875565610859728,0.02969322341268482,0.1255656108597285,0.17251131221719457,4
l2,minority_class_recall,high-low,-0.11085972850678733,0.41513628029226085,-0.4626696832579185,0.24095022624434387,4
lattice_round,minority_class_recall,high-low,0.16233031674208143,0.032649026447198665,0.13744343891402713,0.19004524886877827,4
logitguard_continuous,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
logitguard_quantized,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
measurementguard_continuous,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
memgq_lattice,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
memgq_lattice_sticky,minority_class_recall,high-low,0.16515837104072398,0.036387143534886326,0.13687782805429866,0.19570135746606335,4
memguard,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
none,minority_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
dp_qml,minimum_class_recall,high-low,-0.09821734559331778,0.11994778422824616,-0.18492352999262307,0.022624434389140288,4
dynanoise,minimum_class_recall,high-low,0.08371040723981901,0.01197172538943254,0.0746606334841629,0.09389140271493213,4
hamp_full,minimum_class_recall,high-low,0.14875565610859728,0.02969322341268482,0.1255656108597285,0.17251131221719457,4
hamp_output,minimum_class_recall,high-low,0.15723981900452488,0.03701475472641939,0.12895927601809953,0.18778280542986425,4
hamp_train,minimum_class_recall,high-low,0.14875565610859728,0.02969322341268482,0.1255656108597285,0.17251131221719457,4
l2,minimum_class_recall,high-low,-0.1314998054124385,0.24890362870390653,-0.34303899302389074,0.08003938219901371,4
