effective_defense,attack,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
memgq_lattice_sticky,learned_pv_stats_logistic,auc,high-low,-0.02729999999999999,0.06741469918843129,-0.08476250000000009,0.0329625000000001,4
memgq_lattice_sticky,lira_offline,auc,high-low,0.0015250000000000125,0.05851161565592483,-0.046674999999999994,0.05470000000000004,4
memgq_lattice_sticky,lira_offline_fixed_variance,auc,high-low,-0.002600000000000019,0.0538201325404041,-0.03875000000000001,0.04824999999999996,4
memgq_lattice_sticky,lira_online,auc,high-low,0.016350000000000003,0.045630435749252546,-0.019124999999999975,0.054824999999999985,4
memgq_lattice_sticky,lira_online_fixed_variance,auc,high-low,0.02237500000000002,0.056628872200200735,-0.024250000000000008,0.06610000000000002,4
memgq_lattice_sticky,loss,auc,high-low,-0.012925000000000034,0.08642253274850643,-0.09380000000000002,0.053449999999999956,4
memgq_lattice_sticky,margin,auc,high-low,-0.005025000000000002,0.026714493569346704,-0.02788750000000001,0.015024999999999983,4
memgq_lattice_sticky,maximum_probability,auc,high-low,-0.005025000000000002,0.026714493569346704,-0.02788750000000001,0.015024999999999983,4
memgq_lattice_sticky,nearby_query_logistic_q32,auc,high-low,-0.017449999999999966,0.06669585194497976,-0.05774999999999991,0.04795000000000002,4
memguard,confidence,auc,high-low,-0.00527499999999996,0.0483446911942425,-0.04987499999999999,0.02845000000000003,4
memguard,correctness,auc,high-low,-0.005000000000000018,0.03763863263545411,-0.04250000000000008,0.020000000000000018,4
memguard,entropy,auc,high-low,0.02235000000000001,0.043145219897457864,-0.013024999999999912,0.055749999999999966,4
memguard,global_true_class_log_odds,auc,high-low,0.056925,0.08119636178220467,-0.00024999999999997247,0.13120000000000004,4
memguard,learned_pv_stats_logistic,auc,high-low,-0.04252500000000002,0.11676336111983081,-0.16075000000000012,0.037575000000000094,4
memguard,lira_offline,auc,high-low,-0.02035000000000002,0.008853059734728282,-0.02822500000000007,-0.013824999999999976,4
memguard,lira_offline_fixed_variance,auc,high-low,-0.02905000000000002,0.016679028748701242,-0.0453250000000001,-0.016224999999999948,4
memguard,lira_online,auc,high-low,-0.04664999999999997,0.09579859080383168,-0.11919999999999992,0.03259999999999995,4
memguard,lira_online_fixed_variance,auc,high-low,0.01815,0.014156388428315111,0.005374999999999991,0.02882499999999999,4
memguard,loss,auc,high-low,-0.00527499999999996,0.0483446911942425,-0.04987499999999999,0.02845000000000003,4
memguard,margin,auc,high-low,0.02235000000000001,0.043145219897457864,-0.013024999999999912,0.055749999999999966,4
memguard,maximum_probability,auc,high-low,0.02235000000000001,0.043145219897457864,-0.013024999999999912,0.055749999999999966,4
none,confidence,auc,high-low,0.02785,0.06729048966978915,-0.033549999999999996,0.0893,4
none,correctness,auc,high-low,-0.005000000000000018,0.03763863263545411,-0.04250000000000008,0.020000000000000018,4
none,entropy,auc,high-low,0.010475000000000068,0.05076996323286707,-0.022950000000000026,0.058600000000000096,4
none,global_true_class_log_odds,auc,high-low,-0.0011499999999999982,0.031476287371077764,-0.024900000000000033,0.02525000000000005,4
none,label_only_hsj,auc,high-low,0.0031249999999999473,0.056036632363719543,-0.03375,0.056562499999999905,4
none,learned_pv_stats_logistic,auc,high-low,-0.0037750000000000283,0.0935583730441411,-0.097125,0.04615,4
none,lira_offline,auc,high-low,0.031725,0.01907465596020016,0.01780000000000001,0.050175,4
none,lira_offline_fixed_variance,auc,high-low,0.00792500000000003,0.033245789207056,-0.02004999999999997,0.03325000000000006,4
none,lira_online,auc,high-low,0.06587500000000003,0.06311272322862747,0.01755000000000001,0.11767500000000002,4
none,lira_online_fixed_variance,auc,high-low,0.028824999999999962,0.021499205411673526,0.012249999999999983,0.046024999999999955,4
none,loss,auc,high-low,0.02785,0.06729048966978915,-0.033549999999999996,0.0893,4
none,margin,auc,high-low,0.010475000000000068,0.05076996323286707,-0.022950000000000026,0.058600000000000096,4
none,maximum_probability,auc,high-low,0.010475000000000068,0.05076996323286707,-0.022950000000000026,0.058600000000000096,4
none,nearby_query_logistic_q32,auc,high-low,-0.0010000000000000148,0.05411019620490515,-0.05022499999999998,0.038724999999999926,4
