effective_defense,structural_role,outcome,count,mean,std
lattice_round,high,minority_class_recall,1,0.2850678733031674,
lattice_round,high,minimum_class_recall,1,0.2850678733031674,
lattice_round,high,predicted_minority_fraction,1,0.1385,
lattice_round,high,prediction_collapse,1,0.0,
lattice_round,high,nll,1,0.5113837122917175,
lattice_round,high,mean_entropy,1,0.44696906208992004,
lattice_round,high,runtime_seconds,1,8.301485027070157,
lattice_round,high,attack_runtime_seconds,1,1.2352327230619267,
lattice_round,high,utility_runtime_seconds,1,7.066252304008231,
lattice_round,high,records_per_second,1,283.0354640557525,
lattice_round,high,mean_l1_probability_distortion,1,0.011582823470234871,
lattice_round,low,accuracy,1,0.7835,
lattice_round,low,balanced_accuracy,1,0.5158530776781929,
lattice_round,low,task_roc_auc,1,0.6969008300466429,
lattice_round,low,task_average_precision,1,0.4110650203715459,
lattice_round,low,minority_class_recall,1,0.03619909502262444,
lattice_round,low,minimum_class_recall,1,0.03619909502262444,
lattice_round,low,predicted_minority_fraction,1,0.0115,
lattice_round,low,prediction_collapse,1,0.0,
lattice_round,low,nll,1,0.4864821135997772,
lattice_round,low,mean_entropy,1,0.4957959055900574,
lattice_round,low,runtime_seconds,1,5.648002831963822,
lattice_round,low,attack_runtime_seconds,1,0.8403713710140437,
lattice_round,low,utility_runtime_seconds,1,4.807631460949779,
lattice_round,low,records_per_second,1,416.0052650135722,
lattice_round,low,mean_l1_probability_distortion,1,0.005167853087186813,
logitguard_continuous,high,accuracy,1,0.7685,
logitguard_continuous,high,balanced_accuracy,1,0.6002198549015736,
logitguard_continuous,high,task_roc_auc,1,0.6186003926602733,
logitguard_continuous,high,task_average_precision,1,0.3378358363216644,
logitguard_continuous,high,minority_class_recall,1,0.2986425339366516,
logitguard_continuous,high,minimum_class_recall,1,0.2986425339366516,
logitguard_continuous,high,predicted_minority_fraction,1,0.1425,
logitguard_continuous,high,prediction_collapse,1,0.0,
logitguard_continuous,high,nll,1,0.5425877571105957,
logitguard_continuous,high,mean_entropy,1,0.49112653732299805,
logitguard_continuous,high,runtime_seconds,1,15.161921771010384,
logitguard_continuous,high,attack_runtime_seconds,1,2.2390611559385434,
logitguard_continuous,high,utility_runtime_seconds,1,12.92286061507184,
logitguard_continuous,high,records_per_second,1,154.7644952285111,
logitguard_continuous,high,mean_l1_probability_distortion,1,0.22347337007522583,
logitguard_continuous,low,accuracy,1,0.7835,
logitguard_continuous,low,balanced_accuracy,1,0.5158530776781929,
logitguard_continuous,low,task_roc_auc,1,0.5748450560237919,
logitguard_continuous,low,task_average_precision,1,0.3281321022221687,
logitguard_continuous,low,minority_class_recall,1,0.03619909502262444,
logitguard_continuous,low,minimum_class_recall,1,0.03619909502262444,
logitguard_continuous,low,predicted_minority_fraction,1,0.0115,
logitguard_continuous,low,prediction_collapse,1,0.0,
logitguard_continuous,low,nll,1,0.520919144153595,
logitguard_continuous,low,mean_entropy,1,0.4985653758049011,
logitguard_continuous,low,runtime_seconds,1,12.334645265946165,
logitguard_continuous,low,attack_runtime_seconds,1,1.8354616839205846,
logitguard_continuous,low,utility_runtime_seconds,1,10.49918358202558,
logitguard_continuous,low,records_per_second,1,190.49100193123257,
logitguard_continuous,low,mean_l1_probability_distortion,1,0.16411545872688293,
logitguard_quantized,high,accuracy,1,0.7685,
logitguard_quantized,high,balanced_accuracy,1,0.6002198549015736,
logitguard_quantized,high,task_roc_auc,1,0.6193787429062669,
logitguard_quantized,high,task_average_precision,1,0.3331025332793083,
logitguard_quantized,high,minority_class_recall,1,0.2986425339366516,
logitguard_quantized,high,minimum_class_recall,1,0.2986425339366516,
logitguard_quantized,high,predicted_minority_fraction,1,0.1425,
logitguard_quantized,high,prediction_collapse,1,0.0,
logitguard_quantized,high,nll,1,0.5425747036933899,
logitguard_quantized,high,mean_entropy,1,0.491126149892807,
logitguard_quantized,high,runtime_seconds,1,15.229238084051758,
logitguard_quantized,high,attack_runtime_seconds,1,2.273495718021877,
logitguard_quantized,high,utility_runtime_seconds,1,12.955742366029881,
logitguard_quantized,high,records_per_second,1,154.37170202180195,
logitguard_quantized,high,mean_l1_probability_distortion,1,0.22357404232025146,
logitguard_quantized,low,accuracy,1,0.7835,
logitguard_quantized,low,balanced_accuracy,1,0.5158530776781929,
logitguard_quantized,low,task_roc_auc,1,0.578781823779181,
logitguard_quantized,low,task_average_precision,1,0.3127653566987571,
logitguard_quantized,low,minority_class_recall,1,0.03619909502262444,
logitguard_quantized,low,minimum_class_recall,1,0.03619909502262444,
logitguard_quantized,low,predicted_minority_fraction,1,0.0115,
logitguard_quantized,low,prediction_collapse,1,0.0,
logitguard_quantized,low,nll,1,0.520857572555542,
logitguard_quantized,low,mean_entropy,1,0.4985608756542206,
logitguard_quantized,low,runtime_seconds,1,12.34604710014537,
logitguard_quantized,low,attack_runtime_seconds,1,1.8477362340781838,
logitguard_quantized,low,utility_runtime_seconds,1,10.498310866067186,
logitguard_quantized,low,records_per_second,1,190.5068372917431,
logitguard_quantized,low,mean_l1_probability_distortion,1,0.16415375471115112,
measurementguard_continuous,high,accuracy,1,0.7685,
measurementguard_continuous,high,balanced_accuracy,1,0.6002198549015736,
measurementguard_continuous,high,task_roc_auc,1,0.604465929750986,
measurementguard_continuous,high,task_average_precision,1,0.32049293617443947,
measurementguard_continuous,high,minority_class_recall,1,0.2986425339366516,
measurementguard_continuous,high,minimum_class_recall,1,0.2986425339366516,
measurementguard_continuous,high,predicted_minority_fraction,1,0.1425,
measurementguard_continuous,high,prediction_collapse,1,0.0,
measurementguard_continuous,high,nll,1,0.5628807544708252,
measurementguard_continuous,high,mean_entropy,1,0.4516068398952484,
measurementguard_continuous,high,runtime_seconds,1,18.114831281942315,
measurementguard_continuous,high,attack_runtime_seconds,1,2.7146792369894683,
measurementguard_continuous,high,utility_runtime_seconds,1,15.400152044952847,
measurementguard_continuous,high,records_per_second,1,129.86884766864804,
measurementguard_continuous,high,mean_l1_probability_distortion,1,0.21754847466945648,
measurementguard_continuous,low,accuracy,1,0.7835,
measurementguard_continuous,low,balanced_accuracy,1,0.5158530776781929,
measurementguard_continuous,low,task_roc_auc,1,0.5121856830023408,
measurementguard_continuous,low,task_average_precision,1,0.25528603317774984,
measurementguard_continuous,low,minority_class_recall,1,0.03619909502262444,
measurementguard_continuous,low,minimum_class_recall,1,0.03619909502262444,
measurementguard_continuous,low,predicted_minority_fraction,1,0.0115,
measurementguard_continuous,low,prediction_collapse,1,0.0,
measurementguard_continuous,low,nll,1,0.5254757404327393,
measurementguard_continuous,low,mean_entropy,1,0.4943518340587616,
measurementguard_continuous,low,runtime_seconds,1,15.466622923966497,
measurementguard_continuous,low,attack_runtime_seconds,1,2.2986234630225226,
measurementguard_continuous,low,utility_runtime_seconds,1,13.167999460943975,
measurementguard_continuous,low,records_per_second,1,151.88335980206867,
measurementguard_continuous,low,mean_l1_probability_distortion,1,0.1670837551355362,
memgq_lattice,high,accuracy,1,0.7685,
memgq_lattice,high,balanced_accuracy,1,0.6002198549015736,
memgq_lattice,high,task_roc_auc,1,0.6131091026318694,
memgq_lattice,high,task_average_precision,1,0.3219118728452543,
memgq_lattice,high,minority_class_recall,1,0.2986425339366516,
memgq_lattice,high,minimum_class_recall,1,0.2986425339366516,
memgq_lattice,high,predicted_minority_fraction,1,0.1425,
memgq_lattice,high,prediction_collapse,1,0.0,
memgq_lattice,high,nll,1,0.5567445158958435,
memgq_lattice,high,mean_entropy,1,0.45830869674682617,
memgq_lattice,high,runtime_seconds,1,18.22002211608924,
memgq_lattice,high,attack_runtime_seconds,1,2.7060333280824125,
memgq_lattice,high,utility_runtime_seconds,1,15.513988788006827,
memgq_lattice,high,records_per_second,1,128.91591113860486,
memgq_lattice,high,mean_l1_probability_distortion,1,0.21841640770435333,
memgq_lattice,low,accuracy,1,0.7835,
memgq_lattice,low,balanced_accuracy,1,0.5158530776781929,
memgq_lattice,low,task_roc_auc,1,0.5502471552460225,
memgq_lattice,low,task_average_precision,1,0.2916847671382167,
memgq_lattice,low,minority_class_recall,1,0.03619909502262444,
memgq_lattice,low,minimum_class_recall,1,0.03619909502262444,
memgq_lattice,low,predicted_minority_fraction,1,0.0115,
memgq_lattice,low,prediction_collapse,1,0.0,
memgq_lattice,low,nll,1,0.5198292136192322,
memgq_lattice,low,mean_entropy,1,0.4994269013404846,
