effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
measurementguard_continuous,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice_sticky,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.004524886877828038,0.0,-0.004524886877828038,-0.004524886877828038,1
memguard,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
dp_qml,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.26244343891402716,0.0,-0.26244343891402716,-0.26244343891402716,1
dynanoise,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.11312217194570137,0.0,-0.11312217194570137,-0.11312217194570137,1
hamp_full,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.009049773755656076,0.0,-0.009049773755656076,-0.009049773755656076,1
hamp_output,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_train,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.009049773755656076,0.0,-0.009049773755656076,-0.009049773755656076,1
l2,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.26244343891402716,0.0,-0.26244343891402716,-0.26244343891402716,1
lattice_round,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.013574660633484198,0.0,-0.013574660633484198,-0.013574660633484198,1
logitguard_continuous,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_quantized,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
measurementguard_continuous,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice_sticky,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.004524886877828038,0.0,-0.004524886877828038,-0.004524886877828038,1
