target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,learned_pv_stats_logistic,adaptive_defended_calibration,0.5578,0.55,0.06,0.13,0.4893549263987955,,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,loss,adaptive_defended_calibration,0.536,0.5,0.06,0.24,-0.5859733819961548,as_defined,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,confidence,adaptive_defended_calibration,0.536,0.5,0.06,0.24,0.5565750598907471,as_defined,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,maximum_probability,adaptive_defended_calibration,0.4503,0.48,0.04,0.11,-0.7988801002502441,inverted_from_calibration,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,entropy,adaptive_defended_calibration,0.4503,0.48,0.04,0.11,0.5018579363822937,inverted_from_calibration,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,margin,adaptive_defended_calibration,0.4503,0.48,0.04,0.11,-0.5977601706981659,inverted_from_calibration,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,hamp_output,learned_pv_stats_logistic,adaptive_defended_calibration,0.475,0.505,0.08,0.12,0.5411221946448885,,,,hamp_output
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,loss,adaptive_defended_calibration,0.5453,0.53,0.06,0.08,-0.1934453323483467,as_defined,,,memguard
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,confidence,adaptive_defended_calibration,0.5453,0.53,0.06,0.08,0.8241149187088013,as_defined,,,memguard
