effective_defense,attack,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
memgq_lattice,lira_offline_fixed_variance,auc,high-low,-0.009800000000000031,0.0,-0.009800000000000031,-0.009800000000000031,1
memgq_lattice,lira_online,auc,high-low,0.03479999999999994,0.0,0.03479999999999994,0.03479999999999994,1
memgq_lattice,lira_online_fixed_variance,auc,high-low,0.05669999999999997,0.0,0.05669999999999997,0.05669999999999997,1
memgq_lattice,loss,auc,high-low,-0.052699999999999914,0.0,-0.052699999999999914,-0.052699999999999914,1
memgq_lattice,margin,auc,high-low,0.007300000000000029,0.0,0.007300000000000029,0.007300000000000029,1
memgq_lattice,maximum_probability,auc,high-low,0.007300000000000029,0.0,0.007300000000000029,0.007300000000000029,1
memgq_lattice,nearby_query_logistic_q32,auc,high-low,0.03899999999999998,0.0,0.03899999999999998,0.03899999999999998,1
memgq_lattice_sticky,confidence,auc,high-low,-0.036599999999999966,0.0,-0.036599999999999966,-0.036599999999999966,1
memgq_lattice_sticky,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
memgq_lattice_sticky,entropy,auc,high-low,0.0131,0.0,0.0131,0.0131,1
memgq_lattice_sticky,global_true_class_log_odds,auc,high-low,0.08390000000000009,0.0,0.08390000000000009,0.08390000000000009,1
memgq_lattice_sticky,label_only_hsj,auc,high-low,-0.1837499999999999,0.0,-0.1837499999999999,-0.1837499999999999,1
memgq_lattice_sticky,learned_pv_stats_logistic,auc,high-low,0.016299999999999926,0.0,0.016299999999999926,0.016299999999999926,1
memgq_lattice_sticky,lira_offline,auc,high-low,0.011499999999999955,0.0,0.011499999999999955,0.011499999999999955,1
memgq_lattice_sticky,lira_offline_fixed_variance,auc,high-low,0.014100000000000001,0.0,0.014100000000000001,0.014100000000000001,1
memgq_lattice_sticky,lira_online,auc,high-low,0.061999999999999944,0.0,0.061999999999999944,0.061999999999999944,1
memgq_lattice_sticky,lira_online_fixed_variance,auc,high-low,0.10959999999999998,0.0,0.10959999999999998,0.10959999999999998,1
memgq_lattice_sticky,loss,auc,high-low,-0.036599999999999966,0.0,-0.036599999999999966,-0.036599999999999966,1
memgq_lattice_sticky,margin,auc,high-low,0.0131,0.0,0.0131,0.0131,1
memgq_lattice_sticky,maximum_probability,auc,high-low,0.0131,0.0,0.0131,0.0131,1
memgq_lattice_sticky,nearby_query_logistic_q32,auc,high-low,-0.0035000000000000586,0.0,-0.0035000000000000586,-0.0035000000000000586,1
memguard,confidence,auc,high-low,0.028200000000000003,0.0,0.028200000000000003,0.028200000000000003,1
memguard,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
memguard,entropy,auc,high-low,-0.0008000000000000229,0.0,-0.0008000000000000229,-0.0008000000000000229,1
memguard,global_true_class_log_odds,auc,high-low,0.05689999999999995,0.0,0.05689999999999995,0.05689999999999995,1
memguard,learned_pv_stats_logistic,auc,high-low,0.021299999999999986,0.0,0.021299999999999986,0.021299999999999986,1
memguard,lira_offline,auc,high-low,0.07669999999999993,0.0,0.07669999999999993,0.07669999999999993,1
memguard,lira_offline_fixed_variance,auc,high-low,0.03320000000000001,0.0,0.03320000000000001,0.03320000000000001,1
memguard,lira_online,auc,high-low,0.07050000000000001,0.0,0.07050000000000001,0.07050000000000001,1
memguard,lira_online_fixed_variance,auc,high-low,0.05120000000000002,0.0,0.05120000000000002,0.05120000000000002,1
memguard,loss,auc,high-low,0.028200000000000003,0.0,0.028200000000000003,0.028200000000000003,1
memguard,margin,auc,high-low,-0.0008000000000000229,0.0,-0.0008000000000000229,-0.0008000000000000229,1
memguard,maximum_probability,auc,high-low,-0.0008000000000000229,0.0,-0.0008000000000000229,-0.0008000000000000229,1
none,confidence,auc,high-low,0.04359999999999986,0.0,0.04359999999999986,0.04359999999999986,1
none,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
none,entropy,auc,high-low,0.022600000000000176,0.0,0.022600000000000176,0.022600000000000176,1
none,global_true_class_log_odds,auc,high-low,0.05280000000000007,0.0,0.05280000000000007,0.05280000000000007,1
none,label_only_hsj,auc,high-low,-0.17874999999999996,0.0,-0.17874999999999996,-0.17874999999999996,1
none,learned_pv_stats_logistic,auc,high-low,0.09160000000000001,0.0,0.09160000000000001,0.09160000000000001,1
none,lira_offline,auc,high-low,-0.007400000000000073,0.0,-0.007400000000000073,-0.007400000000000073,1
none,lira_offline_fixed_variance,auc,high-low,-0.05449999999999988,0.0,-0.05449999999999988,-0.05449999999999988,1
none,lira_online,auc,high-low,0.09810000000000002,0.0,0.09810000000000002,0.09810000000000002,1
none,lira_online_fixed_variance,auc,high-low,-0.1277999999999999,0.0,-0.1277999999999999,-0.1277999999999999,1
none,loss,auc,high-low,0.04359999999999986,0.0,0.04359999999999986,0.04359999999999986,1
none,margin,auc,high-low,0.022600000000000176,0.0,0.022600000000000176,0.022600000000000176,1
none,maximum_probability,auc,high-low,0.022600000000000176,0.0,0.022600000000000176,0.022600000000000176,1
none,nearby_query_logistic_q32,auc,high-low,0.032399999999999984,0.0,0.032399999999999984,0.032399999999999984,1
