target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
CREDIT_QNN_eff_su2_r5_d6_b07,satml_credit_factorial,credit_default,QNN,-1,30267,20267,2026,"1=member,0=nonmember",6,6,0.825,0.768,0.05699999999999994,0.9090909090909091,0.5348124999999999,0.0,0.0,0.0,0.025,0.05,0.075,0.15,optuna,0.56517578125,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b07/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,6,0.82,0.7715,0.04849999999999999,0.9090909090909091,0.460375,0.0,0.0,0.0,0.0,0.0,0.05,0.05,optuna,0.5384765625,4,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b08/attack_results.json
CREDIT_QNN_z_r1_d2_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,2,0.815,0.7845,0.03049999999999997,0.9090909090909091,0.511125,0.0,0.0,0.0,0.0,0.025,0.075,0.075,optuna,0.5406054687499999,13,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b01/attack_results.json
CREDIT_QNN_z_r1_d2_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,2,0.81,0.7675,0.04250000000000009,0.9090909090909091,0.5908125,0.0,0.0,0.0,0.0,0.05,0.1,0.15,optuna,0.5825585937500001,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b02/attack_results.json
CREDIT_QNN_z_r1_d2_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,2,0.785,0.7765,0.008500000000000063,0.9090909090909091,0.5301875,0.0,0.0,0.0,0.0,0.0,0.0,0.075,optuna,0.548720703125,14,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b03/attack_results.json
CREDIT_QNN_z_r1_d2_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,2,0.775,0.778,-0.0030000000000000027,0.9090909090909091,0.5170625,0.0,0.0,0.0,0.0,0.0,0.075,0.1,optuna,0.6094921875000001,3,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b04/attack_results.json
CREDIT_QNN_z_r1_d2_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,2,0.795,0.773,0.02200000000000002,0.9090909090909091,0.48450000000000004,0.0,0.0,0.0,0.0,0.0,0.025,0.1,optuna,0.517216796875,25,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b05/attack_results.json
CREDIT_QNN_z_r1_d2_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,2,0.83,0.785,0.04499999999999993,0.9090909090909091,0.4888125,0.0,0.0,0.0,0.0,0.0,0.05,0.075,optuna,0.5820117187500001,6,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b06/attack_results.json
CREDIT_QNN_z_r1_d2_b07,satml_credit_factorial,credit_default,QNN,-1,30267,20267,2026,"1=member,0=nonmember",6,2,0.795,0.7735,0.021500000000000075,0.9090909090909091,0.4839375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,optuna,0.5196875000000001,2,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b07/attack_results.json
CREDIT_QNN_z_r1_d2_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,2,0.795,0.775,0.020000000000000018,0.9090909090909091,0.500625,0.0,0.0,0.0,0.0,0.0,0.025,0.075,optuna,0.579296875,56,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r1_d2_b08/attack_results.json
