attack,mode,queries,shots,fm_kind,model_seed,effect,effect_auc,effect_scope
confidence,noisy_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth2,0.025973750000000018,encoder_specific
confidence,noisy_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth6,0.026987500000000053,encoder_specific
confidence,noisy_shot,1,512,eff_su2,44,repetition_main_5_minus_1,0.026480625000000035,encoder_specific
confidence,noisy_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition1,0.007029999999999981,encoder_specific
confidence,noisy_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition5,0.008043750000000016,encoder_specific
confidence,noisy_shot,1,512,eff_su2,44,depth_main_6_minus_2,0.0075368749999999984,encoder_specific
confidence,noisy_shot,1,512,eff_su2,44,repetition_by_depth_interaction,0.0010137500000000355,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth2,-0.002547499999999925,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth6,0.050012500000000015,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,repetition_main_5_minus_1,0.023732500000000045,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition1,0.0002500000000000835,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition5,0.052810000000000024,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,depth_main_6_minus_2,0.026530000000000054,encoder_specific
confidence,noisy_shot,1,512,eff_su2,45,repetition_by_depth_interaction,0.05255999999999994,encoder_specific
confidence,noisy_shot,1,512,z,43,repetition_5_minus_1_at_depth2,0.04307000000000011,encoder_specific
confidence,noisy_shot,1,512,z,43,repetition_5_minus_1_at_depth6,-0.023967499999999975,encoder_specific
confidence,noisy_shot,1,512,z,43,repetition_main_5_minus_1,0.009551250000000122,encoder_specific
confidence,noisy_shot,1,512,z,43,depth_6_minus_2_at_repetition1,0.03689500000000007,encoder_specific
confidence,noisy_shot,1,512,z,43,depth_6_minus_2_at_repetition5,-0.030142500000000017,encoder_specific
confidence,noisy_shot,1,512,z,43,depth_main_6_minus_2,0.0033762500000000806,encoder_specific
confidence,noisy_shot,1,512,z,43,repetition_by_depth_interaction,-0.06703750000000014,encoder_specific
confidence,noisy_shot,1,512,z,44,repetition_5_minus_1_at_depth2,0.0360950000000001,encoder_specific
confidence,noisy_shot,1,512,z,44,repetition_5_minus_1_at_depth6,0.0004149999999999432,encoder_specific
confidence,noisy_shot,1,512,z,44,repetition_main_5_minus_1,0.01825500000000002,encoder_specific
confidence,noisy_shot,1,512,z,44,depth_6_minus_2_at_repetition1,0.04798750000000007,encoder_specific
confidence,noisy_shot,1,512,z,44,depth_6_minus_2_at_repetition5,0.012307499999999916,encoder_specific
confidence,noisy_shot,1,512,z,44,depth_main_6_minus_2,0.03014750000000005,encoder_specific
confidence,noisy_shot,1,512,z,44,repetition_by_depth_interaction,-0.035680000000000156,encoder_specific
confidence,noisy_shot,1,512,z,45,repetition_5_minus_1_at_depth2,0.016317499999999985,encoder_specific
confidence,noisy_shot,1,512,z,45,repetition_5_minus_1_at_depth6,-0.05221750000000003,encoder_specific
confidence,noisy_shot,1,512,z,45,repetition_main_5_minus_1,-0.01795000000000002,encoder_specific
confidence,noisy_shot,1,512,z,45,depth_6_minus_2_at_repetition1,0.05212499999999998,encoder_specific
confidence,noisy_shot,1,512,z,45,depth_6_minus_2_at_repetition5,-0.016410000000000036,encoder_specific
confidence,noisy_shot,1,512,z,45,depth_main_6_minus_2,0.01785749999999997,encoder_specific
confidence,noisy_shot,1,512,z,45,repetition_by_depth_interaction,-0.06853500000000001,encoder_specific
confidence,noisy_shot,1,512,zz,43,repetition_5_minus_1_at_depth2,0.020340000000000025,encoder_specific
confidence,noisy_shot,1,512,zz,43,repetition_5_minus_1_at_depth6,-0.014987500000000042,encoder_specific
confidence,noisy_shot,1,512,zz,43,repetition_main_5_minus_1,0.0026762499999999356,encoder_specific
confidence,noisy_shot,1,512,zz,43,depth_6_minus_2_at_repetition1,0.030287500000000023,encoder_specific
confidence,noisy_shot,1,512,zz,43,depth_6_minus_2_at_repetition5,-0.0050400000000000444,encoder_specific
confidence,noisy_shot,1,512,zz,43,depth_main_6_minus_2,0.012623749999999934,encoder_specific
confidence,noisy_shot,1,512,zz,43,repetition_by_depth_interaction,-0.03532750000000007,encoder_specific
confidence,noisy_shot,1,512,zz,44,repetition_5_minus_1_at_depth2,0.05250750000000004,encoder_specific
confidence,noisy_shot,1,512,zz,44,repetition_5_minus_1_at_depth6,0.019147499999999984,encoder_specific
confidence,noisy_shot,1,512,zz,44,repetition_main_5_minus_1,0.03582750000000001,encoder_specific
confidence,noisy_shot,1,512,zz,44,depth_6_minus_2_at_repetition1,0.012415000000000065,encoder_specific
confidence,noisy_shot,1,512,zz,44,depth_6_minus_2_at_repetition5,-0.02094499999999999,encoder_specific
confidence,noisy_shot,1,512,zz,44,depth_main_6_minus_2,-0.004264999999999963,encoder_specific
confidence,noisy_shot,1,512,zz,44,repetition_by_depth_interaction,-0.033360000000000056,encoder_specific
confidence,noisy_shot,1,512,zz,45,repetition_5_minus_1_at_depth2,0.023037500000000044,encoder_specific
confidence,noisy_shot,1,512,zz,45,repetition_5_minus_1_at_depth6,0.0056237500000000384,encoder_specific
confidence,noisy_shot,1,512,zz,45,repetition_main_5_minus_1,0.01433062499999993,encoder_specific
confidence,noisy_shot,1,512,zz,45,depth_6_minus_2_at_repetition1,0.03237374999999998,encoder_specific
confidence,noisy_shot,1,512,zz,45,depth_6_minus_2_at_repetition5,0.014959999999999973,encoder_specific
confidence,noisy_shot,1,512,zz,45,depth_main_6_minus_2,0.023666874999999976,encoder_specific
confidence,noisy_shot,1,512,zz,45,repetition_by_depth_interaction,-0.017413750000000006,encoder_specific
correctness,exact,0,0,eff_su2,43,repetition_5_minus_1_at_depth2,0.03249999999999986,encoder_specific
correctness,exact,0,0,eff_su2,43,repetition_5_minus_1_at_depth6,0.07250000000000012,encoder_specific
correctness,exact,0,0,eff_su2,43,repetition_main_5_minus_1,0.05249999999999999,encoder_specific
correctness,exact,0,0,eff_su2,43,depth_6_minus_2_at_repetition1,0.012499999999999845,encoder_specific
correctness,exact,0,0,eff_su2,43,depth_6_minus_2_at_repetition5,0.0525000000000001,encoder_specific
correctness,exact,0,0,eff_su2,43,depth_main_6_minus_2,0.03249999999999997,encoder_specific
correctness,exact,0,0,eff_su2,43,repetition_by_depth_interaction,0.04000000000000026,encoder_specific
correctness,exact,0,0,eff_su2,44,repetition_5_minus_1_at_depth2,0.030000000000000027,encoder_specific
correctness,exact,0,0,eff_su2,44,repetition_5_minus_1_at_depth6,0.0625,encoder_specific
correctness,exact,0,0,eff_su2,44,repetition_main_5_minus_1,0.04625000000000001,encoder_specific
correctness,exact,0,0,eff_su2,44,depth_6_minus_2_at_repetition1,-0.010000000000000009,encoder_specific
correctness,exact,0,0,eff_su2,44,depth_6_minus_2_at_repetition5,0.022499999999999964,encoder_specific
correctness,exact,0,0,eff_su2,44,depth_main_6_minus_2,0.006249999999999978,encoder_specific
correctness,exact,0,0,eff_su2,44,repetition_by_depth_interaction,0.03249999999999997,encoder_specific
correctness,exact,0,0,eff_su2,45,repetition_5_minus_1_at_depth2,0.08750000000000002,encoder_specific
correctness,exact,0,0,eff_su2,45,repetition_5_minus_1_at_depth6,0.08000000000000007,encoder_specific
correctness,exact,0,0,eff_su2,45,repetition_main_5_minus_1,0.0837500000000001,encoder_specific
correctness,exact,0,0,eff_su2,45,depth_6_minus_2_at_repetition1,0.019999999999999907,encoder_specific
correctness,exact,0,0,eff_su2,45,depth_6_minus_2_at_repetition5,0.012499999999999956,encoder_specific
correctness,exact,0,0,eff_su2,45,depth_main_6_minus_2,0.016249999999999876,encoder_specific
correctness,exact,0,0,eff_su2,45,repetition_by_depth_interaction,-0.007499999999999951,encoder_specific
correctness,exact,0,0,z,43,repetition_5_minus_1_at_depth2,0.08250000000000002,encoder_specific
correctness,exact,0,0,z,43,repetition_5_minus_1_at_depth6,0.057499999999999996,encoder_specific
correctness,exact,0,0,z,43,repetition_main_5_minus_1,0.07000000000000006,encoder_specific
correctness,exact,0,0,z,43,depth_6_minus_2_at_repetition1,0.08000000000000007,encoder_specific
correctness,exact,0,0,z,43,depth_6_minus_2_at_repetition5,0.05500000000000005,encoder_specific
correctness,exact,0,0,z,43,depth_main_6_minus_2,0.06750000000000012,encoder_specific
correctness,exact,0,0,z,43,repetition_by_depth_interaction,-0.025000000000000022,encoder_specific
correctness,exact,0,0,z,44,repetition_5_minus_1_at_depth2,0.07500000000000007,encoder_specific
correctness,exact,0,0,z,44,repetition_5_minus_1_at_depth6,0.06750000000000012,encoder_specific
correctness,exact,0,0,z,44,repetition_main_5_minus_1,0.07125000000000004,encoder_specific
correctness,exact,0,0,z,44,depth_6_minus_2_at_repetition1,0.05499999999999994,encoder_specific
correctness,exact,0,0,z,44,depth_6_minus_2_at_repetition5,0.04749999999999999,encoder_specific
correctness,exact,0,0,z,44,depth_main_6_minus_2,0.05125000000000002,encoder_specific
correctness,exact,0,0,z,44,repetition_by_depth_interaction,-0.007499999999999951,encoder_specific
correctness,exact,0,0,z,45,repetition_5_minus_1_at_depth2,0.06999999999999995,encoder_specific
correctness,exact,0,0,z,45,repetition_5_minus_1_at_depth6,0.07250000000000001,encoder_specific
correctness,exact,0,0,z,45,repetition_main_5_minus_1,0.07125000000000004,encoder_specific
correctness,exact,0,0,z,45,depth_6_minus_2_at_repetition1,0.025000000000000022,encoder_specific
correctness,exact,0,0,z,45,depth_6_minus_2_at_repetition5,0.02750000000000008,encoder_specific
correctness,exact,0,0,z,45,depth_main_6_minus_2,0.026250000000000107,encoder_specific
correctness,exact,0,0,z,45,repetition_by_depth_interaction,0.0025000000000000577,encoder_specific
correctness,exact,0,0,zz,43,repetition_5_minus_1_at_depth2,0.03499999999999992,encoder_specific
correctness,exact,0,0,zz,43,repetition_5_minus_1_at_depth6,0.06999999999999995,encoder_specific
correctness,exact,0,0,zz,43,repetition_main_5_minus_1,0.05249999999999999,encoder_specific
correctness,exact,0,0,zz,43,depth_6_minus_2_at_repetition1,0.02749999999999997,encoder_specific
correctness,exact,0,0,zz,43,depth_6_minus_2_at_repetition5,0.0625,encoder_specific
correctness,exact,0,0,zz,43,depth_main_6_minus_2,0.04500000000000004,encoder_specific
correctness,exact,0,0,zz,43,repetition_by_depth_interaction,0.03500000000000003,encoder_specific
correctness,exact,0,0,zz,44,repetition_5_minus_1_at_depth2,0.019999999999999907,encoder_specific
correctness,exact,0,0,zz,44,repetition_5_minus_1_at_depth6,0.06499999999999995,encoder_specific
correctness,exact,0,0,zz,44,repetition_main_5_minus_1,0.04249999999999987,encoder_specific
correctness,exact,0,0,zz,44,depth_6_minus_2_at_repetition1,0.03749999999999998,encoder_specific
correctness,exact,0,0,zz,44,depth_6_minus_2_at_repetition5,0.08250000000000002,encoder_specific
correctness,exact,0,0,zz,44,depth_main_6_minus_2,0.05999999999999994,encoder_specific
correctness,exact,0,0,zz,44,repetition_by_depth_interaction,0.04500000000000004,encoder_specific
correctness,exact,0,0,zz,45,repetition_5_minus_1_at_depth2,0.04500000000000004,encoder_specific
correctness,exact,0,0,zz,45,repetition_5_minus_1_at_depth6,0.08250000000000002,encoder_specific
correctness,exact,0,0,zz,45,repetition_main_5_minus_1,0.06375000000000008,encoder_specific
correctness,exact,0,0,zz,45,depth_6_minus_2_at_repetition1,0.06750000000000012,encoder_specific
correctness,exact,0,0,zz,45,depth_6_minus_2_at_repetition5,0.1050000000000001,encoder_specific
correctness,exact,0,0,zz,45,depth_main_6_minus_2,0.08625000000000016,encoder_specific
correctness,exact,0,0,zz,45,repetition_by_depth_interaction,0.03749999999999998,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth2,0.03650000000000009,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth6,0.06374999999999997,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,repetition_main_5_minus_1,0.050125000000000086,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition1,0.017000000000000126,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition5,0.04425000000000001,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,depth_main_6_minus_2,0.030625000000000013,encoder_specific
correctness,ideal_shot,1,512,eff_su2,43,repetition_by_depth_interaction,0.027249999999999885,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth2,0.016750000000000043,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth6,0.06425000000000003,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,repetition_main_5_minus_1,0.04050000000000009,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition1,-0.01749999999999996,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition5,0.030000000000000027,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,depth_main_6_minus_2,0.006250000000000089,encoder_specific
correctness,ideal_shot,1,512,eff_su2,44,repetition_by_depth_interaction,0.04749999999999999,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth2,0.04700000000000015,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth6,0.06000000000000005,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,repetition_main_5_minus_1,0.0535000000000001,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition1,0.0,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition5,0.0129999999999999,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,depth_main_6_minus_2,0.00649999999999995,encoder_specific
correctness,ideal_shot,1,512,eff_su2,45,repetition_by_depth_interaction,0.0129999999999999,encoder_specific
correctness,ideal_shot,1,512,z,43,repetition_5_minus_1_at_depth2,0.08174999999999999,encoder_specific
correctness,ideal_shot,1,512,z,43,repetition_5_minus_1_at_depth6,0.05999999999999994,encoder_specific
