attack,mode,queries,shots,fm_kind,model_seed,effect,effect_auc,effect_scope,exact_effect_auc,change_vs_exact
confidence,ideal_shot,1,512,zz,44,repetition_by_depth_interaction,0.019785000000000053,encoder_specific,0.027225,-0.007439999999999947
confidence,ideal_shot,1,512,zz,45,repetition_5_minus_1_at_depth2,0.06001999999999996,encoder_specific,0.05172500000000002,0.008294999999999941
confidence,ideal_shot,1,512,zz,45,repetition_5_minus_1_at_depth6,-0.013527500000000026,encoder_specific,-0.009174999999999933,-0.004352500000000092
confidence,ideal_shot,1,512,zz,45,repetition_main_5_minus_1,0.023246249999999913,encoder_specific,0.021275000000000044,0.001971249999999869
confidence,ideal_shot,1,512,zz,45,depth_6_minus_2_at_repetition1,0.042392500000000055,encoder_specific,0.042874999999999996,-0.0004824999999999413
confidence,ideal_shot,1,512,zz,45,depth_6_minus_2_at_repetition5,-0.031154999999999933,encoder_specific,-0.018024999999999958,-0.013129999999999975
confidence,ideal_shot,1,512,zz,45,depth_main_6_minus_2,0.005618750000000117,encoder_specific,0.01242500000000002,-0.006806249999999903
confidence,ideal_shot,1,512,zz,45,repetition_by_depth_interaction,-0.07354749999999999,encoder_specific,-0.060899999999999954,-0.012647500000000034
confidence,noisy_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth2,0.0014325000000000587,encoder_specific,0.00660000000000005,-0.0051674999999999915
confidence,noisy_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth6,0.03246749999999998,encoder_specific,0.053925,-0.021457500000000018
confidence,noisy_shot,1,512,eff_su2,43,repetition_main_5_minus_1,0.01695000000000002,encoder_specific,0.03026249999999997,-0.01331249999999995
confidence,noisy_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition1,0.0010725000000001428,encoder_specific,-0.0028249999999999664,0.003897500000000109
confidence,noisy_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition5,0.03210750000000007,encoder_specific,0.044499999999999984,-0.012392499999999917
confidence,noisy_shot,1,512,eff_su2,43,depth_main_6_minus_2,0.016590000000000105,encoder_specific,0.020837500000000064,-0.00424749999999996
confidence,noisy_shot,1,512,eff_su2,43,repetition_by_depth_interaction,0.031034999999999924,encoder_specific,0.04732499999999995,-0.016290000000000027
confidence,noisy_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth2,0.025973750000000018,encoder_specific,0.051150000000000084,-0.025176250000000067
confidence,noisy_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth6,0.026987500000000053,encoder_specific,0.04255000000000009,-0.015562500000000035
confidence,noisy_shot,1,512,eff_su2,44,repetition_main_5_minus_1,0.026480625000000035,encoder_specific,0.04685000000000006,-0.020369375000000023
confidence,noisy_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition1,0.007029999999999981,encoder_specific,0.018075000000000008,-0.011045000000000027
confidence,noisy_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition5,0.008043750000000016,encoder_specific,0.009475000000000011,-0.001431249999999995
confidence,noisy_shot,1,512,eff_su2,44,depth_main_6_minus_2,0.0075368749999999984,encoder_specific,0.013774999999999982,-0.006238124999999983
confidence,noisy_shot,1,512,eff_su2,44,repetition_by_depth_interaction,0.0010137500000000355,encoder_specific,-0.008599999999999997,0.009613750000000032
confidence,noisy_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth2,-0.002547499999999925,encoder_specific,0.02365000000000006,-0.026197499999999985
confidence,noisy_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth6,0.050012500000000015,encoder_specific,0.056500000000000106,-0.00648750000000009
confidence,noisy_shot,1,512,eff_su2,45,repetition_main_5_minus_1,0.023732500000000045,encoder_specific,0.04007500000000008,-0.016342500000000038
confidence,noisy_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition1,0.0002500000000000835,encoder_specific,0.012299999999999978,-0.012049999999999894
confidence,noisy_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition5,0.052810000000000024,encoder_specific,0.04515000000000002,0.00766
confidence,noisy_shot,1,512,eff_su2,45,depth_main_6_minus_2,0.026530000000000054,encoder_specific,0.02872499999999989,-0.002194999999999836
confidence,noisy_shot,1,512,eff_su2,45,repetition_by_depth_interaction,0.05255999999999994,encoder_specific,0.032850000000000046,0.019709999999999894
confidence,noisy_shot,1,512,z,43,repetition_5_minus_1_at_depth2,0.04307000000000011,encoder_specific,0.04682500000000006,-0.003754999999999953
confidence,noisy_shot,1,512,z,43,repetition_5_minus_1_at_depth6,-0.023967499999999975,encoder_specific,0.0012250000000000316,-0.025192500000000007
confidence,noisy_shot,1,512,z,43,repetition_main_5_minus_1,0.009551250000000122,encoder_specific,0.024025000000000074,-0.014473749999999952
confidence,noisy_shot,1,512,z,43,depth_6_minus_2_at_repetition1,0.03689500000000007,encoder_specific,0.04022500000000001,-0.003329999999999944
confidence,noisy_shot,1,512,z,43,depth_6_minus_2_at_repetition5,-0.030142500000000017,encoder_specific,-0.005375000000000019,-0.024767499999999998
confidence,noisy_shot,1,512,z,43,depth_main_6_minus_2,0.0033762500000000806,encoder_specific,0.017425000000000024,-0.014048749999999943
confidence,noisy_shot,1,512,z,43,repetition_by_depth_interaction,-0.06703750000000014,encoder_specific,-0.04560000000000003,-0.02143750000000011
confidence,noisy_shot,1,512,z,44,repetition_5_minus_1_at_depth2,0.0360950000000001,encoder_specific,0.040000000000000036,-0.0039049999999999363
confidence,noisy_shot,1,512,z,44,repetition_5_minus_1_at_depth6,0.0004149999999999432,encoder_specific,-0.017200000000000104,0.017615000000000047
confidence,noisy_shot,1,512,z,44,repetition_main_5_minus_1,0.01825500000000002,encoder_specific,0.011399999999999966,0.0068550000000000555
confidence,noisy_shot,1,512,z,44,depth_6_minus_2_at_repetition1,0.04798750000000007,encoder_specific,0.06645000000000012,-0.01846250000000005
confidence,noisy_shot,1,512,z,44,depth_6_minus_2_at_repetition5,0.012307499999999916,encoder_specific,0.00924999999999998,0.0030574999999999353
confidence,noisy_shot,1,512,z,44,depth_main_6_minus_2,0.03014750000000005,encoder_specific,0.03785000000000005,-0.007702500000000001
confidence,noisy_shot,1,512,z,44,repetition_by_depth_interaction,-0.035680000000000156,encoder_specific,-0.05720000000000014,0.021519999999999984
confidence,noisy_shot,1,512,z,45,repetition_5_minus_1_at_depth2,0.016317499999999985,encoder_specific,0.019224999999999937,-0.002907499999999952
confidence,noisy_shot,1,512,z,45,repetition_5_minus_1_at_depth6,-0.05221750000000003,encoder_specific,-0.045724999999999905,-0.006492500000000123
confidence,noisy_shot,1,512,z,45,repetition_main_5_minus_1,-0.01795000000000002,encoder_specific,-0.013249999999999984,-0.0047000000000000375
confidence,noisy_shot,1,512,z,45,depth_6_minus_2_at_repetition1,0.05212499999999998,encoder_specific,0.06647499999999995,-0.014349999999999974
confidence,noisy_shot,1,512,z,45,depth_6_minus_2_at_repetition5,-0.016410000000000036,encoder_specific,0.0015250000000001096,-0.017935000000000145
confidence,noisy_shot,1,512,z,45,depth_main_6_minus_2,0.01785749999999997,encoder_specific,0.03400000000000003,-0.01614250000000006
confidence,noisy_shot,1,512,z,45,repetition_by_depth_interaction,-0.06853500000000001,encoder_specific,-0.06494999999999984,-0.0035850000000001714
confidence,noisy_shot,1,512,zz,43,repetition_5_minus_1_at_depth2,0.020340000000000025,encoder_specific,0.0025249999999999995,0.017815000000000025
confidence,noisy_shot,1,512,zz,43,repetition_5_minus_1_at_depth6,-0.014987500000000042,encoder_specific,-0.044749999999999956,0.029762499999999914
confidence,noisy_shot,1,512,zz,43,repetition_main_5_minus_1,0.0026762499999999356,encoder_specific,-0.02111250000000009,0.023788750000000025
confidence,noisy_shot,1,512,zz,43,depth_6_minus_2_at_repetition1,0.030287500000000023,encoder_specific,0.042074999999999974,-0.01178749999999995
confidence,noisy_shot,1,512,zz,43,depth_6_minus_2_at_repetition5,-0.0050400000000000444,encoder_specific,-0.005199999999999982,0.00015999999999993797
confidence,noisy_shot,1,512,zz,43,depth_main_6_minus_2,0.012623749999999934,encoder_specific,0.018437500000000107,-0.005813750000000173
confidence,noisy_shot,1,512,zz,43,repetition_by_depth_interaction,-0.03532750000000007,encoder_specific,-0.047274999999999956,0.011947499999999889
confidence,noisy_shot,1,512,zz,44,repetition_5_minus_1_at_depth2,0.05250750000000004,encoder_specific,-0.022125000000000006,0.07463250000000005
confidence,noisy_shot,1,512,zz,44,repetition_5_minus_1_at_depth6,0.019147499999999984,encoder_specific,0.005099999999999993,0.01404749999999999
confidence,noisy_shot,1,512,zz,44,repetition_main_5_minus_1,0.03582750000000001,encoder_specific,-0.008512499999999978,0.04433999999999999
confidence,noisy_shot,1,512,zz,44,depth_6_minus_2_at_repetition1,0.012415000000000065,encoder_specific,0.02482500000000004,-0.012409999999999977
confidence,noisy_shot,1,512,zz,44,depth_6_minus_2_at_repetition5,-0.02094499999999999,encoder_specific,0.05205000000000004,-0.07299500000000003
confidence,noisy_shot,1,512,zz,44,depth_main_6_minus_2,-0.004264999999999963,encoder_specific,0.03843750000000001,-0.04270249999999998
confidence,noisy_shot,1,512,zz,44,repetition_by_depth_interaction,-0.033360000000000056,encoder_specific,0.027225,-0.060585000000000055
confidence,noisy_shot,1,512,zz,45,repetition_5_minus_1_at_depth2,0.023037500000000044,encoder_specific,0.05172500000000002,-0.028687499999999977
confidence,noisy_shot,1,512,zz,45,repetition_5_minus_1_at_depth6,0.0056237500000000384,encoder_specific,-0.009174999999999933,0.014798749999999972
confidence,noisy_shot,1,512,zz,45,repetition_main_5_minus_1,0.01433062499999993,encoder_specific,0.021275000000000044,-0.006944375000000114
confidence,noisy_shot,1,512,zz,45,depth_6_minus_2_at_repetition1,0.03237374999999998,encoder_specific,0.042874999999999996,-0.010501250000000018
confidence,noisy_shot,1,512,zz,45,depth_6_minus_2_at_repetition5,0.014959999999999973,encoder_specific,-0.018024999999999958,0.03298499999999993
confidence,noisy_shot,1,512,zz,45,depth_main_6_minus_2,0.023666874999999976,encoder_specific,0.01242500000000002,0.011241874999999957
confidence,noisy_shot,1,512,zz,45,repetition_by_depth_interaction,-0.017413750000000006,encoder_specific,-0.060899999999999954,0.04348624999999995
correctness,ideal_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth2,0.03650000000000009,encoder_specific,0.03249999999999986,0.004000000000000226
correctness,ideal_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth6,0.06374999999999997,encoder_specific,0.07250000000000012,-0.008750000000000147
correctness,ideal_shot,1,512,eff_su2,43,repetition_main_5_minus_1,0.050125000000000086,encoder_specific,0.05249999999999999,-0.002374999999999905
correctness,ideal_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition1,0.017000000000000126,encoder_specific,0.012499999999999845,0.0045000000000002816
correctness,ideal_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition5,0.04425000000000001,encoder_specific,0.0525000000000001,-0.00825000000000009
correctness,ideal_shot,1,512,eff_su2,43,depth_main_6_minus_2,0.030625000000000013,encoder_specific,0.03249999999999997,-0.00187499999999996
correctness,ideal_shot,1,512,eff_su2,43,repetition_by_depth_interaction,0.027249999999999885,encoder_specific,0.04000000000000026,-0.012750000000000372
correctness,ideal_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth2,0.016750000000000043,encoder_specific,0.030000000000000027,-0.013249999999999984
correctness,ideal_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth6,0.06425000000000003,encoder_specific,0.0625,0.0017500000000000293
correctness,ideal_shot,1,512,eff_su2,44,repetition_main_5_minus_1,0.04050000000000009,encoder_specific,0.04625000000000001,-0.005749999999999922
correctness,ideal_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition1,-0.01749999999999996,encoder_specific,-0.010000000000000009,-0.007499999999999951
correctness,ideal_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition5,0.030000000000000027,encoder_specific,0.022499999999999964,0.007500000000000062
correctness,ideal_shot,1,512,eff_su2,44,depth_main_6_minus_2,0.006250000000000089,encoder_specific,0.006249999999999978,1.1102230246251565e-16
correctness,ideal_shot,1,512,eff_su2,44,repetition_by_depth_interaction,0.04749999999999999,encoder_specific,0.03249999999999997,0.015000000000000013
correctness,ideal_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth2,0.04700000000000015,encoder_specific,0.08750000000000002,-0.04049999999999987
correctness,ideal_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth6,0.06000000000000005,encoder_specific,0.08000000000000007,-0.020000000000000018
