attack,mode,queries,shots,effect,fm_kind,scope,n_paired_units,n_model_seed_blocks,mean,sd,ci95_low,ci95_high,ci_method,bootstrap_replicates
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,-0.021277499999999987,0.023846502495124905,-0.04803499999999994,-0.0022699999999999942,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.02982000000000003,0.02844354309417165,-0.002722499999999961,0.04993500000000006,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.05088666666666675,0.00655965525643948,-0.057382500000000114,-0.044265,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,zz,encoder_specific,3,3,-0.03354666666666665,0.04807309254752949,-0.07354749999999999,0.019785000000000053,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,0.026799166666666596,0.0024046940857068476,0.024307499999999926,0.02910625,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_main_5_minus_1,z,encoder_specific,3,3,0.005367916666666657,0.016038782164906874,-0.011638750000000031,0.02022125000000008,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_main_5_minus_1,zz,encoder_specific,3,3,-0.00450416666666668,0.02482365310839299,-0.024596249999999875,0.023246249999999913,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,0.0027841666666667355,0.003699925956466264,0.0002500000000000835,0.007029999999999981,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,0.045669166666666705,0.007875228700382786,0.03689500000000007,0.05212499999999998,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.02502541666666669,0.010970645657655364,0.012415000000000065,0.03237374999999998,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.03098708333333337,0.02240414660048076,0.008043750000000016,0.052810000000000024,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,-0.011415000000000045,0.021661328300683652,-0.030142500000000017,0.012307499999999916,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,-0.0036750000000000207,0.0179913777960444,-0.02094499999999999,0.014959999999999973,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,0.016885625000000053,0.00950001289061628,0.0075368749999999984,0.026530000000000054,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,0.017127083333333366,0.013400562974025861,0.0033762500000000806,0.03014750000000005,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,0.010675208333333316,0.014067516526521565,-0.004264999999999963,0.023666874999999976,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.008846979166666658,0.009732520681797412,-0.018813124999999986,0.0006337499999999885,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,0.0015058333333333174,0.008824800681250702,-0.00810656250000008,0.00924093749999999,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,0.010352812499999975,0.016693897132330878,-0.00874031250000007,0.02219625000000003,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,0.00828625000000005,0.015446547905195488,-0.002547499999999925,0.025973750000000018,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,0.031827500000000064,0.013877418032544882,0.016317499999999985,0.04307000000000011,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.0319616666666667,0.017844258939035084,0.020340000000000025,0.05250750000000004,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,0.036489166666666684,0.012027801475470615,0.026987500000000053,0.050012500000000015,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,-0.025256666666666688,0.026339921736469388,-0.05221750000000003,0.0004149999999999432,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,0.0032612499999999933,0.01718969490530593,-0.014987500000000042,0.019147499999999984,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.028202916666666633,0.0258895634237202,0.0010137500000000355,0.05255999999999994,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.05708416666666677,0.018551668107836868,-0.06853500000000001,-0.035680000000000156,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_by_depth_interaction,zz,encoder_specific,3,3,-0.02870041666666671,0.009823919655404047,-0.03532750000000007,-0.017413750000000006,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,0.022387708333333367,0.004905563341014814,0.01695000000000002,0.026480625000000035,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_main_5_minus_1,z,encoder_specific,3,3,0.0032854166666667073,0.018898306981601155,-0.01795000000000002,0.01825500000000002,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_main_5_minus_1,zz,encoder_specific,3,3,0.01761145833333329,0.01681737924474143,0.0026762499999999356,0.03582750000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,0.007499999999999914,0.015612494995995938,-0.010000000000000009,0.019999999999999907,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,0.053333333333333344,0.027537852736430533,0.025000000000000022,0.08000000000000007,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.04416666666666669,0.020816659994661407,0.02749999999999997,0.06750000000000012,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.029166666666666674,0.020816659994661407,0.012499999999999956,0.0525000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,0.04333333333333337,0.014215601757693291,0.02750000000000008,0.05500000000000005,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,0.08333333333333337,0.021262251370288504,0.0625,0.1050000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,0.018333333333333274,0.013248427579653877,0.006249999999999978,0.03249999999999997,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_main_6_minus_2,z,encoder_specific,3,3,0.048333333333333416,0.02077909606631947,0.026250000000000107,0.06750000000000012,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,exact,0,0,depth_main_6_minus_2,zz,encoder_specific,3,3,0.06375000000000004,0.020879116360612654,0.04500000000000004,0.08625000000000016,percentile cluster bootstrap over trained model-seed blocks,10000
