outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
valid_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,-0.165030337870121,2
valid_loss,target_model,feature_map,ZZ - Z,wdbc_b01,-0.03421298414468764,2
valid_loss,target_model,feature_map,ZZ - Z,wdbc_b02,-0.12967091053724292,2
valid_loss,target_model,feature_map,ZZ - Z,wdbc_b03,-0.04113273695111275,2
valid_loss,target_model,feature_map,ZZ - Z,wdbc_b04,-0.082141749560833,2
valid_loss,target_model,feature_map,ZZ - Z,wdbc_b05,-0.18132230639457703,2
test_loss,target_model,repetitions,5 - 1,wdbc_b01,0.3764800727367401,3
test_loss,target_model,repetitions,5 - 1,wdbc_b02,0.32985820124546694,3
test_loss,target_model,repetitions,5 - 1,wdbc_b03,0.3966331010063489,3
test_loss,target_model,repetitions,5 - 1,wdbc_b04,0.25359602769215905,3
test_loss,target_model,repetitions,5 - 1,wdbc_b05,0.30884623030821484,3
test_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b01,0.08809550851583475,2
test_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b02,0.0824630968272686,2
test_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b03,0.07478508353233337,2
test_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b04,0.10251564159989354,2
test_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b05,0.024964049458503695,2
test_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,0.013410098850727081,2
test_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.044533155858516665,2
test_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.03938647732138631,2
test_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.003982309252023732,2
test_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,-0.029843591153621743,2
test_loss,target_model,feature_map,ZZ - Z,wdbc_b01,-0.07468540966510769,2
test_loss,target_model,feature_map,ZZ - Z,wdbc_b02,-0.12699625268578527,2
test_loss,target_model,feature_map,ZZ - Z,wdbc_b03,-0.035398606210947064,2
test_loss,target_model,feature_map,ZZ - Z,wdbc_b04,-0.10649795085191728,2
test_loss,target_model,feature_map,ZZ - Z,wdbc_b05,-0.05480764061212544,2
loss_gap,target_model,repetitions,5 - 1,wdbc_b01,0.2537426787118117,3
loss_gap,target_model,repetitions,5 - 1,wdbc_b02,0.13830717466771608,3
loss_gap,target_model,repetitions,5 - 1,wdbc_b03,0.2395733551432689,3
loss_gap,target_model,repetitions,5 - 1,wdbc_b04,0.08471030741930008,3
loss_gap,target_model,repetitions,5 - 1,wdbc_b05,0.13778257245818779,3
loss_gap,target_model,feature_map,Z - EfficientSU2,wdbc_b01,0.09865645691752431,2
loss_gap,target_model,feature_map,Z - EfficientSU2,wdbc_b02,0.1352619277313352,2
loss_gap,target_model,feature_map,Z - EfficientSU2,wdbc_b03,0.05587924830615522,2
loss_gap,target_model,feature_map,Z - EfficientSU2,wdbc_b04,-0.00816996209323409,2
loss_gap,target_model,feature_map,Z - EfficientSU2,wdbc_b05,-0.001567773520946513,2
loss_gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,0.12470610253512866,2
loss_gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,0.08334915526211267,2
loss_gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.14193864259868855,2
loss_gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,0.07907634414732452,2
loss_gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,0.06329633481800553,2
loss_gap,target_model,feature_map,ZZ - Z,wdbc_b01,0.026049645617604332,2
