experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,confidence,5,0.503491641337386,0.011141173963279228,5,0.4986759118541033,0.019687316715643503,5,-0.002648176291793314,0.03937463343128706,5,0.45875000000000005,0.22196741033313877,5,0.4613981762917933,0.1963652870254254,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,max_probability,5,0.5059213525835866,0.037105180339051094,5,0.5175626899696049,0.03604529333039277,5,0.03512537993920971,0.0720905866607855,5,0.50625,0.19314421425453052,5,0.47112462006079026,0.2446950098793767,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,,z,1,2,confidence,5,0.5226177811550152,0.011085248156070485,5,0.4991660334346505,0.023217560204887827,5,-0.0016679331306990951,0.04643512040977568,5,0.36124999999999996,0.06287388169979648,5,0.3629179331306991,0.10162162953742274,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,,z,1,2,correctness,5,0.5117002279635259,0.013091398027247219,5,0.5108396656534955,0.013942509485594135,5,0.02167933130699089,0.02788501897118832,5,0.7925,0.354584924594941,5,0.7708206686930091,0.3309135724975854,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,,z,1,2,entropy,5,0.5226215805471125,0.011068671582742409,5,0.5039228723404255,0.02024822471257558,5,0.007845744680851053,0.040496449425151175,5,0.33125,0.04238956239453293,5,0.32340425531914896,0.07309382653024879,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,,z,1,2,loss,5,0.5248860182370821,0.011324347713871604,5,0.49866831306990883,0.02265865936086002,5,-0.002663373860182383,0.045317318721720054,5,0.41375,0.092639253289305,5,0.4164133738601824,0.13034517715739555,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,,z,1,2,margin,5,0.5226272796352583,0.011105292289598999,5,0.5002621580547112,0.022119032648071794,5,0.0005243161094224847,0.04423806529614364,5,0.3525,0.048933947827658475,5,0.35197568389057754,0.08592743335725044,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,,z,1,2,max_probability,5,0.5226177811550152,0.011085248156070485,5,0.4991660334346505,0.023217560204887827,5,-0.0016679331306990951,0.04643512040977568,5,0.36124999999999996,0.06287388169979648,5,0.3629179331306991,0.10162162953742274,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,,z,5,2,confidence,5,0.4921998480243161,0.014201937587055291,5,0.5038658814589666,0.02656278148842454,5,0.007731762917933105,0.05312556297684907,5,0.59375,0.21812410458268935,5,0.5860182370820668,0.1892863091313946,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,,z,5,2,correctness,5,0.5575322948328267,0.03588311749122149,5,0.5552469604863222,0.03979703206680118,5,0.11049392097264436,0.07959406413360229,5,0.7725,0.11324406717351686,5,0.6620060790273556,0.0477890431781971,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,,z,5,2,entropy,5,0.4921998480243161,0.014201937587055291,5,0.5038658814589666,0.02656278148842454,5,0.007731762917933105,0.05312556297684907,5,0.59375,0.21812410458268935,5,0.5860182370820668,0.1892863091313946,mean ± sample SD across independent target-model seeds; fixed data seed
