target_id,structural_cell_id,model_seed,attack,auc,mode,shots
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_offline_fixed_variance,0.51492,ideal_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_online,0.6977399999999999,ideal_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_online_fixed_variance,0.705495,ideal_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,global_true_class_log_odds,0.55289,noisy_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_offline,0.4828,noisy_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_offline_fixed_variance,0.48108499999999993,noisy_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_online,0.54832,noisy_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_online_fixed_variance,0.562125,noisy_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,global_true_class_log_odds,0.67328,ideal_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_offline,0.542985,ideal_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_offline_fixed_variance,0.54528,ideal_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_online,0.739855,ideal_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_online_fixed_variance,0.7460950000000001,ideal_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,global_true_class_log_odds,0.564555,noisy_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_offline,0.5116350000000001,noisy_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_offline_fixed_variance,0.516845,noisy_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_online,0.5618299999999999,noisy_shot,512
MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,44,lira_online_fixed_variance,0.57467,noisy_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,global_true_class_log_odds,0.6871450000000001,ideal_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_offline,0.558265,ideal_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_offline_fixed_variance,0.56122,ideal_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_online,0.717185,ideal_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_online_fixed_variance,0.72734,ideal_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,global_true_class_log_odds,0.5622100000000001,noisy_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_offline,0.49715,noisy_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_offline_fixed_variance,0.491335,noisy_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_online,0.5417850000000001,noisy_shot,512
MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,45,lira_online_fixed_variance,0.557115,noisy_shot,512
