outcome,attack,term,coefficient,cluster_se,ci95_low,ci95_high,n_targets,n_blocks,model,uncertainty
auc,entropy,reps_5_minus_1,-0.025453394123607698,0.008476685735552849,-0.04898844674238341,-0.0019183415048319892,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,fm_z_minus_eff,0.002705167173251935,0.00918969488263037,-0.022809516201888414,0.028219850548392284,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,fm_zz_minus_eff,-0.014302811550151808,0.009510178978832896,-0.040707301425487404,0.012101678325183787,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,intercept,0.5301484929078002,0.009147435849303968,0.5047511394188893,0.5555458463967111,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,reps_5_minus_1,0.017203647416412726,0.013933406987505177,-0.02148169221277483,0.05588898704560028,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,fm_z_minus_eff,0.021881648936169916,0.007510030758981645,0.0010304607955104184,0.042732837076829414,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,fm_zz_minus_eff,-0.004346504559270263,0.009560153031591273,-0.03088974464877375,0.022196735530233224,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,intercept,0.5244972137791273,0.005149843982723907,0.5101989546607612,0.5387954728974934,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,reps_5_minus_1,-0.025419832826748534,0.008465646232752483,-0.04892423487201035,-0.0019154307814867183,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,fm_z_minus_eff,0.002707066869300556,0.009192989569900174,-0.0228167640241832,0.028230897762784313,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,fm_zz_minus_eff,-0.01435600303951352,0.00949976710075976,-0.04073158490693704,0.012019578827909997,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,intercept,0.5244949974670706,0.005149470380719792,0.5101977756341601,0.5387922192999811,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,reps_5_minus_1,-0.025400202634246027,0.008460352821297697,-0.048889907813184405,-0.0019104974553076498,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,fm_z_minus_eff,0.0027023176291789963,0.009197761686332306,-0.022834762783614185,0.028239398041972178,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,fm_zz_minus_eff,-0.014378799392097099,0.00948362860289001,-0.0407095736061049,0.011951974821910707,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
