outcome,attack,fm_kind,reps,contrast,mean_difference,sd_across_blocks,ci95_low,ci95_high,n_independent_blocks,inference_unit
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,-0.020500004291534424,0.013724972610591203,-0.03059999942779541,-0.009000003337860107,5,paired split/init block
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,-0.0011999964714050292,0.0065057649118782195,-0.006999993324279785,0.003400003910064697,5,paired split/init block
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,-0.012999999523162841,0.0033911433022558862,-0.015599977970123292,-0.010200011730194091,5,paired split/init block
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,0.018200004100799562,0.013659240824653278,0.009000003337860107,0.029599988460540773,5,paired split/init block
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,-0.007299983501434326,0.01856608287002396,-0.02029998302459717,0.009099996089935303,5,paired split/init block
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,0.0012999773025512695,0.006861120678794828,-0.004900026321411133,0.006499969959259033,5,paired split/init block
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,-0.0070000171661376955,0.002207942160518046,-0.008900022506713868,-0.005400013923645019,5,paired split/init block
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,0.020599985122680665,0.014749566098491013,0.009499990940093994,0.031699979305267335,5,paired split/init block
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,-0.018800020217895508,0.013809391325266807,-0.029699993133544923,-0.008200037479400634,5,paired split/init block
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,-0.006000018119812012,0.009617710746986146,-0.014000022411346435,0.0009999990463256836,5,paired split/init block
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,-0.006999993324279785,0.03290134996267911,-0.030999982357025148,0.017999982833862303,5,paired split/init block
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,-0.003000009059906006,0.014404884828165446,-0.014000034332275391,0.008000016212463379,5,paired split/init block
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,-0.01799999475479126,0.02361142927280816,-0.03400000333786011,0.0009999990463256836,5,paired split/init block
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,-0.0009999990463256836,0.009617682858689799,-0.008999991416931152,0.005999994277954101,5,paired split/init block
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,-0.00699998140335083,0.017888549251165568,-0.020999979972839356,0.008000028133392335,5,paired split/init block
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,0.019999992847442628,0.021213207790773275,0.005999994277954101,0.03899999856948853,5,paired split/init block
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,-0.030999982357025148,0.04052777703846799,-0.06099998950958252,0.0010000348091125488,5,paired split/init block
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,-0.003000009059906006,0.010954463827955303,-0.012000024318695068,0.004999995231628418,5,paired split/init block
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,-0.004999983310699463,0.025980763145916744,-0.019999980926513672,0.019000017642974855,5,paired split/init block
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,0.014999985694885254,0.035355343274017,-0.01500002145767212,0.039999985694885255,5,paired split/init block
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,-0.024000000953674317,0.04204166334410593,-0.056000006198883054,0.008000004291534423,5,paired split/init block
