outcome,attack,fm_kind,reps,contrast,block_id,block_effect
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b01,-0.01500004529953003
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b02,0.034999966621398926
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b03,0.01500004529953003
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b04,-0.019999980926513672
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b05,-0.04999995231628418
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b01,0.005000054836273193
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b02,-0.020000040531158447
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b03,0.0
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b04,-0.01500004529953003
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b05,0.014999985694885254
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b01,-0.019999980926513672
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b02,0.019999980926513672
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b03,-0.034999966621398926
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b04,-0.04000002145767212
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b05,-0.014999985694885254
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b01,-0.004999995231628418
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b02,0.009999990463256836
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b03,0.0
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b04,-0.014999985694885254
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b05,0.004999995231628418
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b01,-0.004999995231628418
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b02,0.020000040531158447
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b03,-0.029999971389770508
