target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5135000000000001,0.54,0.05,0.1,0.5013910633390506,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,loss,adaptive_defended_calibration,0.4722,0.51,0.06,0.06,0.26098549365997314,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,confidence,adaptive_defended_calibration,0.4722,0.51,0.06,0.06,-0.7702941298484802,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,maximum_probability,adaptive_defended_calibration,0.529,0.55,0.11,0.11,0.7631402313709259,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,entropy,adaptive_defended_calibration,0.529,0.55,0.11,0.11,-0.5474240779876709,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,margin,adaptive_defended_calibration,0.529,0.55,0.11,0.11,0.5262804627418518,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_quantized,learned_pv_stats_logistic,adaptive_defended_calibration,0.51065,0.53,0.04,0.06,0.5035150455088452,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,loss,adaptive_defended_calibration,0.4797,0.49,0.06,0.08,0.21931083500385284,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,confidence,adaptive_defended_calibration,0.4797,0.49,0.06,0.08,-0.8030721843242645,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,maximum_probability,adaptive_defended_calibration,0.4995,0.52,0.12,0.13,0.762720137834549,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,entropy,adaptive_defended_calibration,0.4995,0.52,0.12,0.13,-0.5479241013526917,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,margin,adaptive_defended_calibration,0.4995,0.52,0.12,0.13,0.5254402458667755,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,measurementguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5295000000000001,0.515,0.12,0.17,0.48969078864242666,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,loss,adaptive_defended_calibration,0.5544500000000001,0.56,0.07,0.1,-0.35271283984184265,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,confidence,adaptive_defended_calibration,0.5544500000000001,0.56,0.07,0.1,0.7027816772460938,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,maximum_probability,adaptive_defended_calibration,0.42315,0.42000000000000004,0.03,0.06,-0.759352445602417,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,entropy,adaptive_defended_calibration,0.42315,0.42000000000000004,0.03,0.06,0.5518235862255096,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,margin,adaptive_defended_calibration,0.42315,0.42000000000000004,0.03,0.06,-0.5187048614025116,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,lattice_round,learned_pv_stats_logistic,adaptive_defended_calibration,0.50765,0.535,0.01,0.06,0.5187162432696258,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,loss,adaptive_defended_calibration,0.56115,0.55,0.08,0.12,-0.24978915601968765,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,confidence,adaptive_defended_calibration,0.56115,0.55,0.08,0.12,0.778965026140213,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,maximum_probability,adaptive_defended_calibration,0.5098499999999999,0.525,0.11,0.13,0.7759602069854736,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,entropy,adaptive_defended_calibration,0.5098499999999999,0.525,0.11,0.13,-0.5319736301898956,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,margin,adaptive_defended_calibration,0.5098499999999999,0.525,0.11,0.13,0.5519204139709473,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice,learned_pv_stats_logistic,adaptive_defended_calibration,0.54535,0.55,0.08,0.11,0.5140669379073091,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,loss,adaptive_defended_calibration,0.42925,0.43,0.03,0.04,0.27626489102840424,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,confidence,adaptive_defended_calibration,0.42925,0.43,0.03,0.04,-0.7586120367050171,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,maximum_probability,adaptive_defended_calibration,0.48195,0.45999999999999996,0.12,0.15,-0.7586120367050171,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,entropy,adaptive_defended_calibration,0.48195,0.45999999999999996,0.12,0.15,0.5526741445064545,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,margin,adaptive_defended_calibration,0.48195,0.45999999999999996,0.12,0.15,-0.5172240734100342,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memgq_lattice_sticky,learned_pv_stats_logistic,adaptive_defended_calibration,0.49645,0.485,0.11,0.15,0.5225194439352179,
