target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,learned_pv_stats_logistic,adaptive_defended_calibration,0.5533999999999999,0.535,0.06,0.15,0.4984983175361329,,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,loss,adaptive_defended_calibration,0.546,0.5549999999999999,0.07,0.11,-0.3323663026094436,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,confidence,adaptive_defended_calibration,0.546,0.5549999999999999,0.07,0.11,0.7172245681285858,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,maximum_probability,adaptive_defended_calibration,0.4981,0.515,0.07,0.1,0.8226504921913147,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,entropy,adaptive_defended_calibration,0.4981,0.515,0.07,0.1,-0.4673505276441574,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,margin,adaptive_defended_calibration,0.4981,0.515,0.07,0.1,0.645300954580307,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,correctness,adaptive_defended_calibration,0.5449999999999999,0.545,0.0,0.0,0.5,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,learned_pv_stats_logistic,adaptive_defended_calibration,0.5596000000000001,0.54,0.07,0.14,0.5315970779735305,,,,memgq_lattice_sticky
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,loss,adaptive_defended_calibration,0.4894,0.515,0.11,0.15,0.0654031634330749,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,confidence,adaptive_defended_calibration,0.4894,0.515,0.11,0.15,-0.936689794063568,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,maximum_probability,adaptive_defended_calibration,0.4397,0.515,0.04,0.06,-0.9337665140628816,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,entropy,adaptive_defended_calibration,0.4397,0.515,0.04,0.06,0.2437845170497894,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,margin,adaptive_defended_calibration,0.4397,0.515,0.04,0.06,-0.8675329685211182,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.4425,0.495,0.06,0.06,0.4318296798972508,,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,loss,adaptive_defended_calibration,0.5689,0.5549999999999999,0.1,0.16,-0.578860878944397,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,confidence,adaptive_defended_calibration,0.5689,0.5549999999999999,0.1,0.16,0.5605366826057434,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,maximum_probability,adaptive_defended_calibration,0.5972000000000001,0.53,0.11,0.18,0.596422016620636,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,entropy,adaptive_defended_calibration,0.5972000000000001,0.53,0.11,0.18,-0.674435555934906,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,margin,adaptive_defended_calibration,0.5972000000000001,0.53,0.11,0.18,0.1928440034389495,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,correctness,adaptive_defended_calibration,0.53,0.53,0.0,0.0,0.5,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5518000000000001,0.535,0.05,0.15,0.4895743172567933,,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,hamp_output,loss,adaptive_defended_calibration,0.5583,0.545,0.11,0.21,-0.5233236849308014,as_defined,,,hamp_full
