effective_defense,structural_role,attack,outcome,count,mean,std
dynanoise,low,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.08,
dynanoise,low,lira_offline,auc,1,0.5512999999999999,
dynanoise,low,lira_offline,balanced_accuracy,1,0.505,
dynanoise,low,lira_offline,tpr_at_5_fpr,1,0.11,
dynanoise,low,lira_offline,tpr_at_10_fpr,1,0.14,
dynanoise,low,lira_offline_fixed_variance,auc,1,0.5266,
dynanoise,low,lira_offline_fixed_variance,balanced_accuracy,1,0.515,
dynanoise,low,lira_offline_fixed_variance,tpr_at_5_fpr,1,0.05,
dynanoise,low,lira_offline_fixed_variance,tpr_at_10_fpr,1,0.14,
dynanoise,low,lira_online,auc,1,0.4806,
dynanoise,low,lira_online,balanced_accuracy,1,0.52,
dynanoise,low,lira_online,tpr_at_5_fpr,1,0.08,
dynanoise,low,lira_online,tpr_at_10_fpr,1,0.1,
dynanoise,low,lira_online_fixed_variance,auc,1,0.5003,
dynanoise,low,lira_online_fixed_variance,balanced_accuracy,1,0.525,
dynanoise,low,lira_online_fixed_variance,tpr_at_5_fpr,1,0.06,
dynanoise,low,lira_online_fixed_variance,tpr_at_10_fpr,1,0.11,
dynanoise,low,loss,auc,1,0.5177,
dynanoise,low,loss,balanced_accuracy,1,0.53,
dynanoise,low,loss,tpr_at_5_fpr,1,0.11,
dynanoise,low,loss,tpr_at_10_fpr,1,0.15,
dynanoise,low,margin,auc,1,0.5739,
dynanoise,low,margin,balanced_accuracy,1,0.56,
dynanoise,low,margin,tpr_at_5_fpr,1,0.15,
dynanoise,low,margin,tpr_at_10_fpr,1,0.2,
dynanoise,low,maximum_probability,auc,1,0.5739,
dynanoise,low,maximum_probability,balanced_accuracy,1,0.56,
dynanoise,low,maximum_probability,tpr_at_5_fpr,1,0.15,
dynanoise,low,maximum_probability,tpr_at_10_fpr,1,0.2,
hamp_full,high,confidence,auc,1,0.5665,
hamp_full,high,confidence,balanced_accuracy,1,0.53,
hamp_full,high,confidence,tpr_at_5_fpr,1,0.1,
hamp_full,high,confidence,tpr_at_10_fpr,1,0.2,
hamp_full,high,correctness,auc,1,0.56,
hamp_full,high,correctness,balanced_accuracy,1,0.56,
hamp_full,high,correctness,tpr_at_5_fpr,1,0.0,
hamp_full,high,correctness,tpr_at_10_fpr,1,0.0,
hamp_full,high,entropy,auc,1,0.4543,
hamp_full,high,entropy,balanced_accuracy,1,0.48,
hamp_full,high,entropy,tpr_at_5_fpr,1,0.06,
hamp_full,high,entropy,tpr_at_10_fpr,1,0.09,
hamp_full,high,learned_pv_stats_logistic,auc,1,0.6126999999999999,
hamp_full,high,learned_pv_stats_logistic,balanced_accuracy,1,0.555,
hamp_full,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.06,
hamp_full,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.19,
hamp_full,high,loss,auc,1,0.5665,
hamp_full,high,loss,balanced_accuracy,1,0.53,
hamp_full,high,loss,tpr_at_5_fpr,1,0.1,
hamp_full,high,loss,tpr_at_10_fpr,1,0.2,
hamp_full,high,margin,auc,1,0.4543,
hamp_full,high,margin,balanced_accuracy,1,0.48,
hamp_full,high,margin,tpr_at_5_fpr,1,0.06,
hamp_full,high,margin,tpr_at_10_fpr,1,0.09,
hamp_full,high,maximum_probability,auc,1,0.4543,
hamp_full,high,maximum_probability,balanced_accuracy,1,0.48,
hamp_full,high,maximum_probability,tpr_at_5_fpr,1,0.06,
hamp_full,high,maximum_probability,tpr_at_10_fpr,1,0.09,
hamp_full,low,confidence,auc,1,0.5583,
hamp_full,low,confidence,balanced_accuracy,1,0.545,
hamp_full,low,confidence,tpr_at_5_fpr,1,0.11,
hamp_full,low,confidence,tpr_at_10_fpr,1,0.21,
hamp_full,low,correctness,auc,1,0.53,
hamp_full,low,correctness,balanced_accuracy,1,0.53,
hamp_full,low,correctness,tpr_at_5_fpr,1,0.0,
hamp_full,low,correctness,tpr_at_10_fpr,1,0.0,
hamp_full,low,entropy,auc,1,0.4484,
hamp_full,low,entropy,balanced_accuracy,1,0.485,
hamp_full,low,entropy,tpr_at_5_fpr,1,0.05,
hamp_full,low,entropy,tpr_at_10_fpr,1,0.07,
hamp_full,low,learned_pv_stats_logistic,auc,1,0.471,
hamp_full,low,learned_pv_stats_logistic,balanced_accuracy,1,0.48,
hamp_full,low,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.07,
hamp_full,low,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.11,
hamp_full,low,loss,auc,1,0.5583,
hamp_full,low,loss,balanced_accuracy,1,0.545,
hamp_full,low,loss,tpr_at_5_fpr,1,0.11,
hamp_full,low,loss,tpr_at_10_fpr,1,0.21,
hamp_full,low,margin,auc,1,0.4484,
hamp_full,low,margin,balanced_accuracy,1,0.485,
hamp_full,low,margin,tpr_at_5_fpr,1,0.05,
hamp_full,low,margin,tpr_at_10_fpr,1,0.07,
hamp_full,low,maximum_probability,auc,1,0.4484,
hamp_full,low,maximum_probability,balanced_accuracy,1,0.485,
hamp_full,low,maximum_probability,tpr_at_5_fpr,1,0.05,
hamp_full,low,maximum_probability,tpr_at_10_fpr,1,0.07,
hamp_output,high,confidence,auc,1,0.565,
hamp_output,high,confidence,balanced_accuracy,1,0.55,
hamp_output,high,confidence,tpr_at_5_fpr,1,0.13,
hamp_output,high,confidence,tpr_at_10_fpr,1,0.17,
hamp_output,high,correctness,auc,1,0.54,
hamp_output,high,correctness,balanced_accuracy,1,0.54,
hamp_output,high,correctness,tpr_at_5_fpr,1,0.0,
hamp_output,high,correctness,tpr_at_10_fpr,1,0.0,
hamp_output,high,entropy,auc,1,0.4306,
hamp_output,high,entropy,balanced_accuracy,1,0.495,
hamp_output,high,entropy,tpr_at_5_fpr,1,0.06,
hamp_output,high,entropy,tpr_at_10_fpr,1,0.07,
hamp_output,high,learned_pv_stats_logistic,auc,1,0.5859,
hamp_output,high,learned_pv_stats_logistic,balanced_accuracy,1,0.565,
hamp_output,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.04,
hamp_output,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.08,
hamp_output,high,loss,auc,1,0.565,
hamp_output,high,loss,balanced_accuracy,1,0.55,
