attack,effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
learned_pv_stats_logistic,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.0025000000000001688,0.0,0.0025000000000001688,0.0025000000000001688,1
learned_pv_stats_logistic,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.045399999999999996,0.0,-0.045399999999999996,-0.045399999999999996,1
learned_pv_stats_logistic,l2,none,auc,(high-low)_defense-(high-low)_none,-0.1306,0.0,-0.1306,-0.1306,1
learned_pv_stats_logistic,lattice_round,none,auc,(high-low)_defense-(high-low)_none,-0.006750000000000034,0.0,-0.006750000000000034,-0.006750000000000034,1
learned_pv_stats_logistic,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.0514,0.0,-0.0514,-0.0514,1
learned_pv_stats_logistic,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.045849999999999835,0.0,-0.045849999999999835,-0.045849999999999835,1
learned_pv_stats_logistic,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.08019999999999994,0.0,-0.08019999999999994,-0.08019999999999994,1
learned_pv_stats_logistic,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.09675,0.0,-0.09675,-0.09675,1
learned_pv_stats_logistic,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.0416499999999998,0.0,-0.0416499999999998,-0.0416499999999998,1
learned_pv_stats_logistic,memguard,none,auc,(high-low)_defense-(high-low)_none,0.03920000000000001,0.0,0.03920000000000001,0.03920000000000001,1
lira_offline,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.053099999999999925,0.0,-0.053099999999999925,-0.053099999999999925,1
lira_offline,l2,none,auc,(high-low)_defense-(high-low)_none,-0.11159999999999998,0.0,-0.11159999999999998,-0.11159999999999998,1
lira_offline,l2+dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.01610000000000006,0.0,-0.01610000000000006,-0.01610000000000006,1
lira_offline,l2+memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.0020999999999999908,0.0,-0.0020999999999999908,-0.0020999999999999908,1
lira_offline,l2+memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.09610000000000002,0.0,-0.09610000000000002,-0.09610000000000002,1
lira_offline,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.026299999999999935,0.0,0.026299999999999935,0.026299999999999935,1
lira_offline,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.01589999999999997,0.0,-0.01589999999999997,-0.01589999999999997,1
lira_offline_fixed_variance,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.02779999999999999,0.0,-0.02779999999999999,-0.02779999999999999,1
