target_id,mode,aggregation,attack,simulator_seed,contrast,treatment_queries,treatment_shots,baseline_queries,baseline_shots,auc_difference
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,9,single_shot_2560_minus_128,1,2560,1,128,-0.020050000000000012
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,9,repeat_5x128_minus_1x128,5,128,1,128,-0.015499999999999958
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,9,repeat_20x128_minus_1x128,20,128,1,128,-0.02429999999999999
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,9,equal_total_5x512_minus_1x2560,5,512,1,2560,0.0050000000000000044
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,9,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.004249999999999976
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,0,single_shot_512_minus_128,1,512,1,128,-0.022499999999999964
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,0,single_shot_2560_minus_128,1,2560,1,128,-0.029999999999999916
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,0,repeat_5x128_minus_1x128,5,128,1,128,-0.01749999999999985
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,0,repeat_20x128_minus_1x128,20,128,1,128,-0.007499999999999951
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,0,equal_total_5x512_minus_1x2560,5,512,1,2560,0.0
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,0,equal_total_20x128_minus_1x2560,20,128,1,2560,0.022499999999999964
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,1,single_shot_512_minus_128,1,512,1,128,-0.00749999999999984
