target_id,structural_cell_id,fm_kind,reps,depth,model_seed,mode,queries,shots,total_shots,aggregation,attack,n_simulator_seeds,mean_auc,sd_simulator
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,pooled_counts_before_head,entropy,10,0.5151125000000001,0.005444049376255782
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,pooled_counts_before_head,loss,10,0.54132,0.004667422557829249
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,pooled_counts_before_head,margin,10,0.5119374999999999,0.008131917995022938
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,confidence,10,0.5208950000000001,0.008590747606841006
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,correctness,10,0.528,0.011890705987824633
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,entropy,10,0.5207375,0.006761587276668107
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,learned_mlp_pv,10,0.5376875,0.025309622264401047
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,learned_mlp_pv_mean_std,10,0.5454175,0.027844970246986345
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,loss,10,0.5524600000000001,0.006564733217901741
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,mean_api_probabilities,margin,10,0.5247725,0.01163481037662411
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,pooled_counts_before_head,confidence,10,0.5112075,0.009698095818252157
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,pooled_counts_before_head,correctness,10,0.523,0.011042845848984946
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,pooled_counts_before_head,entropy,10,0.5144575,0.0068663030850346285
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,pooled_counts_before_head,loss,10,0.543265,0.006385695820434234
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,20,128,2560,pooled_counts_before_head,margin,10,0.511325,0.010335591151184563
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,noisy_shot,1,128,128,mean_api_probabilities,confidence,10,0.5114124999999999,0.027560623203927916
