target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,margin,adaptive_defended_calibration,0.5193,0.53,0.09,0.16,-0.5683590769767761,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5541,0.555,0.07,0.14,0.49155732445446504,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,loss,adaptive_defended_calibration,0.6047,0.5449999999999999,0.1,0.18,-0.1023407131433487,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,confidence,adaptive_defended_calibration,0.6047,0.5449999999999999,0.1,0.18,0.9027226567268372,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,maximum_probability,adaptive_defended_calibration,0.6014,0.54,0.1,0.18,0.9115649461746216,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,entropy,adaptive_defended_calibration,0.6014,0.54,0.1,0.18,-0.2988945245742798,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,margin,adaptive_defended_calibration,0.6014,0.54,0.1,0.18,0.8231298923492432,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,correctness,adaptive_defended_calibration,0.5449999999999999,0.545,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,learned_pv_stats_logistic,adaptive_defended_calibration,0.6056999999999999,0.5449999999999999,0.1,0.18,0.6065767519415517,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,loss,adaptive_defended_calibration,0.5345,0.535,0.06,0.12,-0.30848027765750885,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,confidence,adaptive_defended_calibration,0.5345,0.535,0.06,0.12,0.7345624566078186,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,maximum_probability,adaptive_defended_calibration,0.48939999999999995,0.5,0.07,0.09,0.8548842966556549,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,entropy,adaptive_defended_calibration,0.48939999999999995,0.5,0.07,0.09,-0.4141407907009125,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,margin,adaptive_defended_calibration,0.48939999999999995,0.5,0.07,0.09,0.7097685635089874,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,learned_pv_stats_logistic,adaptive_defended_calibration,0.5533999999999999,0.535,0.06,0.15,0.49849831753613294,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,loss,adaptive_defended_calibration,0.546,0.5549999999999999,0.07,0.11,-0.33236630260944366,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,confidence,adaptive_defended_calibration,0.546,0.5549999999999999,0.07,0.11,0.7172245681285858,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,maximum_probability,adaptive_defended_calibration,0.49810000000000004,0.515,0.07,0.1,0.8226504921913147,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,entropy,adaptive_defended_calibration,0.49810000000000004,0.515,0.07,0.1,-0.4673505276441574,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,margin,adaptive_defended_calibration,0.49810000000000004,0.515,0.07,0.1,0.645300954580307,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,correctness,adaptive_defended_calibration,0.5449999999999999,0.545,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,learned_pv_stats_logistic,adaptive_defended_calibration,0.5596000000000001,0.54,0.07,0.14,0.5315970779735305,
